InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Repetition;Cmax;Duration_ms
1000;0.001;7500;NORMAL;1;1;3432;7
1000;0.001;7500;NORMAL;1;2;3466;9
1000;0.001;7500;NORMAL;1;3;3481;7
1000;0.001;7500;NORMAL;1;4;3448;8
1000;0.001;7500;NORMAL;1;5;3585;7
1000;0.001;7500;NORMAL;1;6;3561;8
1000;0.001;7500;NORMAL;1;7;3539;7
1000;0.001;7500;NORMAL;1;8;3553;8
1000;0.001;7500;NORMAL;1;9;3444;7
1000;0.001;7500;NORMAL;1;10;3571;8
1000;0.001;7500;GREEDY;25;1;3315;178
1000;0.001;7500;GREEDY;25;2;3362;177
1000;0.001;7500;GREEDY;25;3;3319;171
1000;0.001;7500;GREEDY;25;4;3363;180
1000;0.001;7500;GREEDY;25;5;3323;175
1000;0.001;7500;GREEDY;25;6;3295;186
1000;0.001;7500;GREEDY;25;7;3315;182
1000;0.001;7500;GREEDY;25;8;3326;184
1000;0.001;7500;GREEDY;25;9;3388;179
1000;0.001;7500;GREEDY;25;10;3336;180
1000;0.001;7500;GREEDY;50;1;3304;350
1000;0.001;7500;GREEDY;50;2;3337;331
1000;0.001;7500;GREEDY;50;3;3324;328
1000;0.001;7500;GREEDY;50;4;3324;346
1000;0.001;7500;GREEDY;50;5;3282;329
1000;0.001;7500;GREEDY;50;6;3307;347
1000;0.001;7500;GREEDY;50;7;3289;426
1000;0.001;7500;GREEDY;50;8;3315;412
1000;0.001;7500;GREEDY;50;9;3306;348
1000;0.001;7500;GREEDY;50;10;3285;338
1000;0.001;7500;GREEDY;75;1;3315;566
1000;0.001;7500;GREEDY;75;2;3285;508
1000;0.001;7500;GREEDY;75;3;3295;506
1000;0.001;7500;GREEDY;75;4;3289;497
1000;0.001;7500;GREEDY;75;5;3322;501
1000;0.001;7500;GREEDY;75;6;3272;488
1000;0.001;7500;GREEDY;75;7;3296;491
1000;0.001;7500;GREEDY;75;8;3278;498
1000;0.001;7500;GREEDY;75;9;3336;487
1000;0.001;7500;GREEDY;75;10;3314;496
1000;0.001;7500;GREEDY;100;1;3270;629
1000;0.001;7500;GREEDY;100;2;3252;642
1000;0.001;7500;GREEDY;100;3;3288;636
1000;0.001;7500;GREEDY;100;4;3281;643
1000;0.001;7500;GREEDY;100;5;3283;635
1000;0.001;7500;GREEDY;100;6;3296;626
1000;0.001;7500;GREEDY;100;7;3285;644
1000;0.001;7500;GREEDY;100;8;3287;631
1000;0.001;7500;GREEDY;100;9;3277;642
1000;0.001;7500;GREEDY;100;10;3280;650
1000;0.001;7500;REHEAT;1;1;3608;8
1000;0.001;7500;REHEAT;1;2;3475;8
1000;0.001;7500;REHEAT;1;3;3422;8
1000;0.001;7500;REHEAT;1;4;3381;9
1000;0.001;7500;REHEAT;1;5;3529;8
1000;0.001;7500;REHEAT;1;6;3538;8
1000;0.001;7500;REHEAT;1;7;3461;8
1000;0.001;7500;REHEAT;1;8;3529;8
1000;0.001;7500;REHEAT;1;9;3634;8
1000;0.001;7500;REHEAT;1;10;3534;8
1000;0.001;7500;BOTH;25;1;3339;170
1000;0.001;7500;BOTH;25;2;3365;174
1000;0.001;7500;BOTH;25;3;3335;174
1000;0.001;7500;BOTH;25;4;3348;175
1000;0.001;7500;BOTH;25;5;3318;174
1000;0.001;7500;BOTH;25;6;3318;172
1000;0.001;7500;BOTH;25;7;3262;171
1000;0.001;7500;BOTH;25;8;3351;179
1000;0.001;7500;BOTH;25;9;3319;173
1000;0.001;7500;BOTH;25;10;3321;170
1000;0.001;7500;BOTH;50;1;3290;349
1000;0.001;7500;BOTH;50;2;3297;375
1000;0.001;7500;BOTH;50;3;3301;325
1000;0.001;7500;BOTH;50;4;3294;328
1000;0.001;7500;BOTH;50;5;3296;327
1000;0.001;7500;BOTH;50;6;3311;323
1000;0.001;7500;BOTH;50;7;3294;335
1000;0.001;7500;BOTH;50;8;3287;329
1000;0.001;7500;BOTH;50;9;3280;333
1000;0.001;7500;BOTH;50;10;3301;330
1000;0.001;7500;BOTH;75;1;3262;499
1000;0.001;7500;BOTH;75;2;3281;489
1000;0.001;7500;BOTH;75;3;3283;491
1000;0.001;7500;BOTH;75;4;3268;506
1000;0.001;7500;BOTH;75;5;3255;488
1000;0.001;7500;BOTH;75;6;3306;497
1000;0.001;7500;BOTH;75;7;3285;498
1000;0.001;7500;BOTH;75;8;3274;484
1000;0.001;7500;BOTH;75;9;3252;483
1000;0.001;7500;BOTH;75;10;3288;488
1000;0.001;7500;BOTH;100;1;3270;638
1000;0.001;7500;BOTH;100;2;3252;633
1000;0.001;7500;BOTH;100;3;3273;636
1000;0.001;7500;BOTH;100;4;3286;634
1000;0.001;7500;BOTH;100;5;3268;641
1000;0.001;7500;BOTH;100;6;3224;639
1000;0.001;7500;BOTH;100;7;3274;636
