InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Repetition;Cmax;Duration_ms
1000;0.001;20000;NORMAL;1;1;9084;27
1000;0.001;20000;NORMAL;1;2;9089;29
1000;0.001;20000;NORMAL;1;3;9137;28
1000;0.001;20000;NORMAL;1;4;8904;28
1000;0.001;20000;NORMAL;1;5;9100;28
1000;0.001;20000;NORMAL;1;6;9070;28
1000;0.001;20000;NORMAL;1;7;8959;29
1000;0.001;20000;NORMAL;1;8;8985;29
1000;0.001;20000;NORMAL;1;9;8955;33
1000;0.001;20000;NORMAL;1;10;8990;29
1000;0.001;20000;GREEDY;50;1;8530;1119
1000;0.001;20000;GREEDY;50;2;8545;1105
1000;0.001;20000;GREEDY;50;3;8530;1109
1000;0.001;20000;GREEDY;50;4;8552;1125
1000;0.001;20000;GREEDY;50;5;8509;1098
1000;0.001;20000;GREEDY;50;6;8502;1091
1000;0.001;20000;GREEDY;50;7;8569;1099
1000;0.001;20000;GREEDY;50;8;8422;1103
1000;0.001;20000;GREEDY;50;9;8517;1123
1000;0.001;20000;GREEDY;50;10;8596;1197
1000;0.001;20000;GREEDY;100;1;8442;2164
1000;0.001;20000;GREEDY;100;2;8410;2110
1000;0.001;20000;GREEDY;100;3;8476;2134
1000;0.001;20000;GREEDY;100;4;8453;2133
1000;0.001;20000;GREEDY;100;5;8508;2126
1000;0.001;20000;GREEDY;100;6;8488;2142
1000;0.001;20000;GREEDY;100;7;8453;2155
1000;0.001;20000;GREEDY;100;8;8517;2097
1000;0.001;20000;GREEDY;100;9;8549;2132
1000;0.001;20000;GREEDY;100;10;8508;2136
1000;0.001;20000;GREEDY;150;1;8448;3217
1000;0.001;20000;GREEDY;150;2;8413;3198
1000;0.001;20000;GREEDY;150;3;8382;3346
1000;0.001;20000;GREEDY;150;4;8463;3189
1000;0.001;20000;GREEDY;150;5;8377;3209
1000;0.001;20000;GREEDY;150;6;8414;3200
1000;0.001;20000;GREEDY;150;7;8440;3181
1000;0.001;20000;GREEDY;150;8;8443;3184
1000;0.001;20000;GREEDY;150;9;8422;3187
1000;0.001;20000;GREEDY;150;10;8385;3168
1000;0.001;20000;GREEDY;200;1;8416;4104
1000;0.001;20000;GREEDY;200;2;8400;4265
1000;0.001;20000;GREEDY;200;3;8407;4152
1000;0.001;20000;GREEDY;200;4;8405;4170
1000;0.001;20000;GREEDY;200;5;8439;4224
1000;0.001;20000;GREEDY;200;6;8391;4135
1000;0.001;20000;GREEDY;200;7;8396;4139
1000;0.001;20000;GREEDY;200;8;8417;4169
1000;0.001;20000;GREEDY;200;9;8398;4292
1000;0.001;20000;GREEDY;200;10;8412;4188
1000;0.001;20000;REHEAT;1;1;9068;27
1000;0.001;20000;REHEAT;1;2;9101;26
1000;0.001;20000;REHEAT;1;3;8957;26
1000;0.001;20000;REHEAT;1;4;8987;28
1000;0.001;20000;REHEAT;1;5;8944;31
1000;0.001;20000;REHEAT;1;6;9008;26
1000;0.001;20000;REHEAT;1;7;9014;27
1000;0.001;20000;REHEAT;1;8;8928;27
1000;0.001;20000;REHEAT;1;9;8959;27
1000;0.001;20000;REHEAT;1;10;8941;27
1000;0.001;20000;BOTH;50;1;8578;1098
1000;0.001;20000;BOTH;50;2;8556;1100
1000;0.001;20000;BOTH;50;3;8514;1093
1000;0.001;20000;BOTH;50;4;8593;1092
1000;0.001;20000;BOTH;50;5;8507;1108
1000;0.001;20000;BOTH;50;6;8519;1105
1000;0.001;20000;BOTH;50;7;8521;1104
1000;0.001;20000;BOTH;50;8;8486;1131
1000;0.001;20000;BOTH;50;9;8438;1117
1000;0.001;20000;BOTH;50;10;8570;1088
1000;0.001;20000;BOTH;100;1;8458;2103
1000;0.001;20000;BOTH;100;2;8488;2111
