InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Mean_Cmax;Mean_Duration_ms
1000.0;0.001;2250;BOTH;7;1333.8;16.3
1000.0;0.001;2250;BOTH;15;1317.2;30.6
1000.0;0.001;2250;BOTH;22;1316.0;50.3
1000.0;0.001;2250;BOTH;30;1326.3;62.3
1000.0;0.001;2250;GREEDY;7;1352.2;14.8
1000.0;0.001;2250;GREEDY;15;1331.5;33.0
1000.0;0.001;2250;GREEDY;22;1314.2;50.9
1000.0;0.001;2250;GREEDY;30;1327.7;57.6
1000.0;0.001;2250;NORMAL;1;1404.9;1.3
1000.0;0.001;2250;REHEAT;1;1377.5;1.5
1000.0;0.001;11250;BOTH;7;1317.8;69.0
1000.0;0.001;11250;BOTH;15;1314.0;144.1
1000.0;0.001;11250;BOTH;22;1314.0;184.4
1000.0;0.001;11250;BOTH;30;1314.0;242.3
1000.0;0.001;11250;GREEDY;7;1320.2;76.0
1000.0;0.001;11250;GREEDY;15;1314.4;132.5
1000.0;0.001;11250;GREEDY;22;1317.5;187.7
1000.0;0.001;11250;GREEDY;30;1315.5;244.1
1000.0;0.001;11250;NORMAL;1;1367.7;8.4
1000.0;0.001;11250;REHEAT;1;1358.9;7.4
1000.0;0.001;22500;BOTH;7;1314.0;150.4
1000.0;0.001;22500;BOTH;15;1314.0;258.1
1000.0;0.001;22500;BOTH;22;1314.0;370.3
1000.0;0.001;22500;BOTH;30;1314.0;481.6
1000.0;0.001;22500;GREEDY;7;1320.9;140.3
1000.0;0.001;22500;GREEDY;15;1314.0;256.0
1000.0;0.001;22500;GREEDY;22;1314.0;369.1
1000.0;0.001;22500;GREEDY;30;1314.0;488.6
1000.0;0.001;22500;NORMAL;1;1349.9;15.2
1000.0;0.001;22500;REHEAT;1;1344.8;16.8
1000.0;0.001;45000;BOTH;7;1314.2;280.5
1000.0;0.001;45000;BOTH;15;1314.0;527.3
1000.0;0.001;45000;BOTH;22;1314.0;742.8
1000.0;0.001;45000;BOTH;30;1314.0;977.1
1000.0;0.001;45000;GREEDY;7;1316.4;279.7
1000.0;0.001;45000;GREEDY;15;1314.0;524.1
1000.0;0.001;45000;GREEDY;22;1314.0;748.9
1000.0;0.001;45000;GREEDY;30;1314.0;1244.4
1000.0;0.001;45000;NORMAL;1;1340.1;31.2
1000.0;0.001;45000;REHEAT;1;1337.2;33.6
10000.0;0.001;2250;BOTH;7;1345.9;13.9
10000.0;0.001;2250;BOTH;15;1318.5;25.5
10000.0;0.001;2250;BOTH;22;1318.8;37.0
10000.0;0.001;2250;BOTH;30;1324.7;47.5
10000.0;0.001;2250;GREEDY;7;1348.0;14.1
10000.0;0.001;2250;GREEDY;15;1331.8;25.0
10000.0;0.001;2250;GREEDY;22;1325.6;36.7
10000.0;0.001;2250;GREEDY;30;1322.5;47.4
10000.0;0.001;2250;NORMAL;1;1414.5;1.0
10000.0;0.001;2250;REHEAT;1;1399.3;1.0
10000.0;0.001;11250;BOTH;7;1321.2;70.5
10000.0;0.001;11250;BOTH;15;1314.0;128.9
10000.0;0.001;11250;BOTH;22;1314.0;187.4
10000.0;0.001;11250;BOTH;30;1314.0;242.4
10000.0;0.001;11250;GREEDY;7;1332.1;69.2
10000.0;0.001;11250;GREEDY;15;1314.4;128.9
10000.0;0.001;11250;GREEDY;22;1314.0;185.6
10000.0;0.001;11250;GREEDY;30;1314.0;242.4
10000.0;0.001;11250;NORMAL;1;1375.6;8.4
10000.0;0.001;11250;REHEAT;1;1364.4;7.5
10000.0;0.001;22500;BOTH;7;1317.6;140.1
10000.0;0.001;22500;BOTH;15;1314.0;259.2
10000.0;0.001;22500;BOTH;22;1314.0;376.5
10000.0;0.001;22500;BOTH;30;1314.0;474.9
10000.0;0.001;22500;GREEDY;7;1321.9;138.7
10000.0;0.001;22500;GREEDY;15;1314.2;258.3
10000.0;0.001;22500;GREEDY;22;1314.0;374.3
10000.0;0.001;22500;GREEDY;30;1314.0;495.6
10000.0;0.001;22500;NORMAL;1;1371.3;16.5
10000.0;0.001;22500;REHEAT;1;1364.9;14.9
