InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Mean_Cmax;Mean_Duration_ms
1000.0;0.001;3000;BOTH;10;1607.9;25.1
1000.0;0.001;3000;BOTH;20;1588.4;47.7
1000.0;0.001;3000;BOTH;30;1582.1;67.2
1000.0;0.001;3000;BOTH;40;1578.3;91.2
1000.0;0.001;3000;GREEDY;10;1611.3;27.3
1000.0;0.001;3000;GREEDY;20;1595.8;52.6
1000.0;0.001;3000;GREEDY;30;1581.9;68.9
1000.0;0.001;3000;GREEDY;40;1576.1;90.3
1000.0;0.001;3000;NORMAL;1;1672.0;2.3
1000.0;0.001;3000;REHEAT;1;1680.7;2.1
1000.0;0.001;15000;BOTH;10;1592.5;132.8
1000.0;0.001;15000;BOTH;20;1579.4;240.4
1000.0;0.001;15000;BOTH;30;1570.6;339.1
1000.0;0.001;15000;BOTH;40;1572.0;452.8
1000.0;0.001;15000;GREEDY;10;1595.8;131.7
1000.0;0.001;15000;GREEDY;20;1584.6;238.3
1000.0;0.001;15000;GREEDY;30;1571.1;342.8
1000.0;0.001;15000;GREEDY;40;1578.5;448.3
1000.0;0.001;15000;NORMAL;1;1633.3;10.8
1000.0;0.001;15000;REHEAT;1;1637.1;10.5
1000.0;0.001;30000;BOTH;10;1583.3;263.4
1000.0;0.001;30000;BOTH;20;1576.3;475.0
1000.0;0.001;30000;BOTH;30;1569.9;668.3
1000.0;0.001;30000;BOTH;40;1568.1;906.9
1000.0;0.001;30000;GREEDY;10;1592.3;261.6
1000.0;0.001;30000;GREEDY;20;1580.6;474.8
1000.0;0.001;30000;GREEDY;30;1574.3;679.4
1000.0;0.001;30000;GREEDY;40;1571.5;905.5
1000.0;0.001;30000;NORMAL;1;1629.5;20.7
1000.0;0.001;30000;REHEAT;1;1621.5;21.6
1000.0;0.001;60000;BOTH;10;1578.4;528.2
1000.0;0.001;60000;BOTH;20;1569.8;967.1
1000.0;0.001;60000;BOTH;30;1568.8;1360.7
1000.0;0.001;60000;BOTH;40;1567.9;1832.6
1000.0;0.001;60000;GREEDY;10;1585.3;528.6
1000.0;0.001;60000;GREEDY;20;1575.5;951.0
1000.0;0.001;60000;GREEDY;30;1569.3;1327.3
1000.0;0.001;60000;GREEDY;40;1568.3;1803.8
1000.0;0.001;60000;NORMAL;1;1619.5;42.1
1000.0;0.001;60000;REHEAT;1;1604.5;43.2
10000.0;0.001;3000;BOTH;10;1616.1;30.0
10000.0;0.001;3000;BOTH;20;1590.4;57.5
10000.0;0.001;3000;BOTH;30;1583.1;83.0
10000.0;0.001;3000;BOTH;40;1579.2;90.8
10000.0;0.001;3000;GREEDY;10;1608.8;25.8
10000.0;0.001;3000;GREEDY;20;1589.5;47.0
10000.0;0.001;3000;GREEDY;30;1580.7;67.1
10000.0;0.001;3000;GREEDY;40;1577.0;89.6
10000.0;0.001;3000;NORMAL;1;1676.6;2.1
10000.0;0.001;3000;REHEAT;1;1690.0;2.6
10000.0;0.001;15000;BOTH;10;1595.8;138.5
