InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Repetition;Cmax;Duration_ms
1000;0.001;2250;NORMAL;1;1;1343;1
1000;0.001;2250;NORMAL;1;2;1400;1
1000;0.001;2250;NORMAL;1;3;1429;1
1000;0.001;2250;NORMAL;1;4;1399;1
1000;0.001;2250;NORMAL;1;5;1449;2
1000;0.001;2250;NORMAL;1;6;1421;2
1000;0.001;2250;NORMAL;1;7;1410;1
1000;0.001;2250;NORMAL;1;8;1373;1
1000;0.001;2250;NORMAL;1;9;1425;2
1000;0.001;2250;NORMAL;1;10;1400;1
1000;0.001;2250;GREEDY;7;1;1343;14
1000;0.001;2250;GREEDY;7;2;1358;18
1000;0.001;2250;GREEDY;7;3;1350;14
1000;0.001;2250;GREEDY;7;4;1350;15
1000;0.001;2250;GREEDY;7;5;1343;14
1000;0.001;2250;GREEDY;7;6;1329;15
1000;0.001;2250;GREEDY;7;7;1372;14
1000;0.001;2250;GREEDY;7;8;1361;14
1000;0.001;2250;GREEDY;7;9;1353;15
1000;0.001;2250;GREEDY;7;10;1363;15
1000;0.001;2250;GREEDY;15;1;1318;36
1000;0.001;2250;GREEDY;15;2;1329;27
1000;0.001;2250;GREEDY;15;3;1316;36
1000;0.001;2250;GREEDY;15;4;1314;29
1000;0.001;2250;GREEDY;15;5;1366;28
1000;0.001;2250;GREEDY;15;6;1343;31
1000;0.001;2250;GREEDY;15;7;1318;40
1000;0.001;2250;GREEDY;15;8;1360;31
1000;0.001;2250;GREEDY;15;9;1337;31
1000;0.001;2250;GREEDY;15;10;1314;41
1000;0.001;2250;GREEDY;22;1;1314;41
1000;0.001;2250;GREEDY;22;2;1314;39
1000;0.001;2250;GREEDY;22;3;1314;85
1000;0.001;2250;GREEDY;22;4;1314;59
1000;0.001;2250;GREEDY;22;5;1316;46
1000;0.001;2250;GREEDY;22;6;1314;44
1000;0.001;2250;GREEDY;22;7;1314;48
1000;0.001;2250;GREEDY;22;8;1314;55
1000;0.001;2250;GREEDY;22;9;1314;51
1000;0.001;2250;GREEDY;22;10;1314;41
1000;0.001;2250;GREEDY;30;1;1314;52
1000;0.001;2250;GREEDY;30;2;1314;57
