InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Repetition;Cmax;Duration_ms
1000;0.001;3000;NORMAL;1;1;1665;2
1000;0.001;3000;NORMAL;1;2;1645;2
1000;0.001;3000;NORMAL;1;3;1702;2
1000;0.001;3000;NORMAL;1;4;1716;3
1000;0.001;3000;NORMAL;1;5;1684;3
1000;0.001;3000;NORMAL;1;6;1695;3
1000;0.001;3000;NORMAL;1;7;1670;2
1000;0.001;3000;NORMAL;1;8;1639;2
1000;0.001;3000;NORMAL;1;9;1689;2
1000;0.001;3000;NORMAL;1;10;1615;2
1000;0.001;3000;GREEDY;10;1;1613;31
1000;0.001;3000;GREEDY;10;2;1642;29
1000;0.001;3000;GREEDY;10;3;1567;29
1000;0.001;3000;GREEDY;10;4;1631;24
1000;0.001;3000;GREEDY;10;5;1603;26
1000;0.001;3000;GREEDY;10;6;1613;26
1000;0.001;3000;GREEDY;10;7;1596;26
1000;0.001;3000;GREEDY;10;8;1635;31
1000;0.001;3000;GREEDY;10;9;1624;24
1000;0.001;3000;GREEDY;10;10;1589;27
1000;0.001;3000;GREEDY;20;1;1601;51
1000;0.001;3000;GREEDY;20;2;1596;49
1000;0.001;3000;GREEDY;20;3;1589;45
1000;0.001;3000;GREEDY;20;4;1600;46
1000;0.001;3000;GREEDY;20;5;1606;45
1000;0.001;3000;GREEDY;20;6;1582;58
1000;0.001;3000;GREEDY;20;7;1591;64
1000;0.001;3000;GREEDY;20;8;1597;57
1000;0.001;3000;GREEDY;20;9;1603;51
1000;0.001;3000;GREEDY;20;10;1593;60
1000;0.001;3000;GREEDY;30;1;1589;85
1000;0.001;3000;GREEDY;30;2;1579;68
1000;0.001;3000;GREEDY;30;3;1580;71
1000;0.001;3000;GREEDY;30;4;1598;66
1000;0.001;3000;GREEDY;30;5;1570;66
1000;0.001;3000;GREEDY;30;6;1593;69
1000;0.001;3000;GREEDY;30;7;1598;64
1000;0.001;3000;GREEDY;30;8;1570;68
1000;0.001;3000;GREEDY;30;9;1572;66
1000;0.001;3000;GREEDY;30;10;1570;66
1000;0.001;3000;GREEDY;40;1;1583;89
1000;0.001;3000;GREEDY;40;2;1570;94
1000;0.001;3000;GREEDY;40;3;1582;88
1000;0.001;3000;GREEDY;40;4;1583;87
1000;0.001;3000;GREEDY;40;5;1582;88
1000;0.001;3000;GREEDY;40;6;1572;89
1000;0.001;3000;GREEDY;40;7;1570;92
1000;0.001;3000;GREEDY;40;8;1569;94
1000;0.001;3000;GREEDY;40;9;1583;93
1000;0.001;3000;GREEDY;40;10;1567;89
1000;0.001;3000;REHEAT;1;1;1627;2
1000;0.001;3000;REHEAT;1;2;1667;2
1000;0.001;3000;REHEAT;1;3;1746;2
1000;0.001;3000;REHEAT;1;4;1664;2
1000;0.001;3000;REHEAT;1;5;1696;2
1000;0.001;3000;REHEAT;1;6;1633;3
1000;0.001;3000;REHEAT;1;7;1686;2
1000;0.001;3000;REHEAT;1;8;1656;2
1000;0.001;3000;REHEAT;1;9;1736;2
1000;0.001;3000;REHEAT;1;10;1696;2
1000;0.001;3000;BOTH;10;1;1622;25
1000;0.001;3000;BOTH;10;2;1610;24
1000;0.001;3000;BOTH;10;3;1600;25
1000;0.001;3000;BOTH;10;4;1604;25
1000;0.001;3000;BOTH;10;5;1598;25
1000;0.001;3000;BOTH;10;6;1589;25
1000;0.001;3000;BOTH;10;7;1609;25
1000;0.001;3000;BOTH;10;8;1590;28
1000;0.001;3000;BOTH;10;9;1623;24
1000;0.001;3000;BOTH;10;10;1634;25
1000;0.001;3000;BOTH;20;1;1582;48
1000;0.001;3000;BOTH;20;2;1582;48
1000;0.001;3000;BOTH;20;3;1585;49
1000;0.001;3000;BOTH;20;4;1583;47
1000;0.001;3000;BOTH;20;5;1582;47
1000;0.001;3000;BOTH;20;6;1601;45
1000;0.001;3000;BOTH;20;7;1585;47
1000;0.001;3000;BOTH;20;8;1592;49
1000;0.001;3000;BOTH;20;9;1592;48
1000;0.001;3000;BOTH;20;10;1600;49
1000;0.001;3000;BOTH;30;1;1590;68
1000;0.001;3000;BOTH;30;2;1586;64
1000;0.001;3000;BOTH;30;3;1570;64
1000;0.001;3000;BOTH;30;4;1583;64
1000;0.001;3000;BOTH;30;5;1589;67
1000;0.001;3000;BOTH;30;6;1567;63
