InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Mean_Cmax;Mean_Duration_ms
1000.0;0.001;4000;BOTH;10;2135.5;35.6
1000.0;0.001;4000;BOTH;20;2110.8;62.4
1000.0;0.001;4000;BOTH;30;2113.8;87.5
1000.0;0.001;4000;BOTH;40;2105.3;120.4
1000.0;0.001;4000;GREEDY;10;2132.2;35.6
1000.0;0.001;4000;GREEDY;20;2126.2;63.8
1000.0;0.001;4000;GREEDY;30;2114.1;97.5
1000.0;0.001;4000;GREEDY;40;2120.0;123.2
1000.0;0.001;4000;NORMAL;1;2218.5;2.9
1000.0;0.001;4000;REHEAT;1;2225.1;3.1
1000.0;0.001;20000;BOTH;10;2105.0;174.3
1000.0;0.001;20000;BOTH;20;2086.7;316.6
1000.0;0.001;20000;BOTH;30;2084.0;446.1
1000.0;0.001;20000;BOTH;40;2083.8;607.4
1000.0;0.001;20000;GREEDY;10;2109.6;181.7
1000.0;0.001;20000;GREEDY;20;2098.1;318.8
1000.0;0.001;20000;GREEDY;30;2095.6;446.3
1000.0;0.001;20000;GREEDY;40;2093.8;620.7
1000.0;0.001;20000;NORMAL;1;2162.8;13.8
1000.0;0.001;20000;REHEAT;1;2156.2;14.4
1000.0;0.001;40000;BOTH;10;2103.8;351.4
1000.0;0.001;40000;BOTH;20;2080.8;648.1
1000.0;0.001;40000;BOTH;30;2076.0;911.0
1000.0;0.001;40000;BOTH;40;2078.2;1224.1
1000.0;0.001;40000;GREEDY;10;2106.2;351.4
1000.0;0.001;40000;GREEDY;20;2090.5;641.6
1000.0;0.001;40000;GREEDY;30;2090.5;908.6
1000.0;0.001;40000;GREEDY;40;2081.4;1208.7
1000.0;0.001;40000;NORMAL;1;2151.2;30.0
1000.0;0.001;40000;REHEAT;1;2136.7;28.4
1000.0;0.001;80000;BOTH;10;2092.2;717.6
1000.0;0.001;80000;BOTH;20;2077.8;1286.3
1000.0;0.001;80000;BOTH;30;2076.0;1794.2
1000.0;0.001;80000;BOTH;40;2076.0;2411.8
1000.0;0.001;80000;GREEDY;10;2109.6;704.4
1000.0;0.001;80000;GREEDY;20;2076.0;1305.3
1000.0;0.001;80000;GREEDY;30;2076.0;1785.6
1000.0;0.001;80000;GREEDY;40;2078.6;2453.9
1000.0;0.001;80000;NORMAL;1;2147.6;57.7
1000.0;0.001;80000;REHEAT;1;2118.2;65.6
10000.0;0.001;4000;BOTH;10;2137.6;43.0
10000.0;0.001;4000;BOTH;20;2110.3;66.4
10000.0;0.001;4000;BOTH;30;2109.9;90.7
10000.0;0.001;4000;BOTH;40;2106.2;123.0
10000.0;0.001;4000;GREEDY;10;2128.2;35.4
10000.0;0.001;4000;GREEDY;20;2116.4;64.2
10000.0;0.001;4000;GREEDY;30;2102.6;90.5
10000.0;0.001;4000;GREEDY;40;2113.2;130.6
10000.0;0.001;4000;NORMAL;1;2249.2;3.1
10000.0;0.001;4000;REHEAT;1;2216.3;3.1
10000.0;0.001;20000;BOTH;10;2109.7;175.9
10000.0;0.001;20000;BOTH;20;2087.9;321.5
10000.0;0.001;20000;BOTH;30;2085.8;452.4
10000.0;0.001;20000;BOTH;40;2088.0;625.2
10000.0;0.001;20000;GREEDY;10;2122.1;177.1
10000.0;0.001;20000;GREEDY;20;2098.5;317.6
10000.0;0.001;20000;GREEDY;30;2085.5;450.1
10000.0;0.001;20000;GREEDY;40;2088.2;601.5
10000.0;0.001;20000;NORMAL;1;2165.9;15.7
10000.0;0.001;20000;REHEAT;1;2182.2;14.3
10000.0;0.001;40000;BOTH;10;2110.9;355.8
10000.0;0.001;40000;BOTH;20;2084.8;642.1
10000.0;0.001;40000;BOTH;30;2078.3;895.1
10000.0;0.001;40000;BOTH;40;2078.2;1224.1
10000.0;0.001;40000;GREEDY;10;2106.1;352.0
10000.0;0.001;40000;GREEDY;20;2094.3;649.8
10000.0;0.001;40000;GREEDY;30;2080.8;902.5
10000.0;0.001;40000;GREEDY;40;2085.2;1218.8
10000.0;0.001;40000;NORMAL;1;2156.3;28.4
10000.0;0.001;40000;REHEAT;1;2157.8;29.9
10000.0;0.001;80000;BOTH;10;2107.8;724.7
10000.0;0.001;80000;BOTH;20;2079.7;1320.9
10000.0;0.001;80000;BOTH;30;2076.0;1817.0
10000.0;0.001;80000;BOTH;40;2076.0;2460.3
10000.0;0.001;80000;GREEDY;10;2110.6;719.5
10000.0;0.001;80000;GREEDY;20;2086.6;1288.6
10000.0;0.001;80000;GREEDY;30;2076.0;1798.9
10000.0;0.001;80000;GREEDY;40;2076.0;2433.0
10000.0;0.001;80000;NORMAL;1;2142.1;57.7
10000.0;0.001;80000;REHEAT;1;2145.5;69.8
100000.0;0.001;4000;BOTH;10;2149.4;37.9
100000.0;0.001;4000;BOTH;20;2104.5;66.6
100000.0;0.001;4000;BOTH;30;2100.3;88.8
100000.0;0.001;4000;BOTH;40;2103.9;121.1
100000.0;0.001;4000;GREEDY;10;2140.7;35.6
100000.0;0.001;4000;GREEDY;20;2111.0;63.0
100000.0;0.001;4000;GREEDY;30;2108.4;86.9
100000.0;0.001;4000;GREEDY;40;2111.9;121.3
100000.0;0.001;4000;NORMAL;1;2244.0;3.0
100000.0;0.001;4000;REHEAT;1;2264.6;3.0
100000.0;0.001;20000;BOTH;10;2121.7;179.0
100000.0;0.001;20000;BOTH;20;2095.6;319.0
100000.0;0.001;20000;BOTH;30;2084.5;443.9
100000.0;0.001;20000;BOTH;40;2083.6;605.0
100000.0;0.001;20000;GREEDY;10;2114.5;183.5
100000.0;0.001;20000;GREEDY;20;2096.0;317.6
100000.0;0.001;20000;GREEDY;30;2079.7;472.6
100000.0;0.001;20000;GREEDY;40;2083.1;609.1
100000.0;0.001;20000;NORMAL;1;2188.1;14.5
