InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Mean_Cmax;Mean_Duration_ms
1000.0;0.001;3000;BOTH;10;1568.7;26.5
1000.0;0.001;3000;BOTH;20;1565.3;48.4
1000.0;0.001;3000;BOTH;30;1559.2;66.5
1000.0;0.001;3000;BOTH;40;1562.5;91.7
1000.0;0.001;3000;GREEDY;10;1598.9;26.8
1000.0;0.001;3000;GREEDY;20;1564.1;47.3
1000.0;0.001;3000;GREEDY;30;1561.6;66.8
1000.0;0.001;3000;GREEDY;40;1567.3;89.2
1000.0;0.001;3000;NORMAL;1;1631.4;2.0
1000.0;0.001;3000;REHEAT;1;1640.6;2.0
1000.0;0.001;15000;BOTH;10;1560.7;129.5
1000.0;0.001;15000;BOTH;20;1558.6;235.7
1000.0;0.001;15000;BOTH;30;1551.5;332.3
1000.0;0.001;15000;BOTH;40;1552.7;459.7
1000.0;0.001;15000;GREEDY;10;1566.2;131.8
1000.0;0.001;15000;GREEDY;20;1556.3;237.1
1000.0;0.001;15000;GREEDY;30;1556.5;336.7
1000.0;0.001;15000;GREEDY;40;1558.9;452.3
1000.0;0.001;15000;NORMAL;1;1627.4;10.8
1000.0;0.001;15000;REHEAT;1;1600.3;10.8
1000.0;0.001;30000;BOTH;10;1560.0;273.8
1000.0;0.001;30000;BOTH;20;1550.7;497.0
1000.0;0.001;30000;BOTH;30;1549.9;665.5
1000.0;0.001;30000;BOTH;40;1549.0;894.1
1000.0;0.001;30000;GREEDY;10;1567.4;267.0
1000.0;0.001;30000;GREEDY;20;1555.9;476.4
1000.0;0.001;30000;GREEDY;30;1552.8;658.9
1000.0;0.001;30000;GREEDY;40;1551.9;921.7
1000.0;0.001;30000;NORMAL;1;1596.3;22.3
1000.0;0.001;30000;REHEAT;1;1587.4;22.2
1000.0;0.001;60000;BOTH;10;1553.7;533.6
1000.0;0.001;60000;BOTH;20;1550.4;974.5
1000.0;0.001;60000;BOTH;30;1548.8;1372.2
1000.0;0.001;60000;BOTH;40;1549.0;1817.2
1000.0;0.001;60000;GREEDY;10;1559.2;529.6
1000.0;0.001;60000;GREEDY;20;1549.7;973.5
1000.0;0.001;60000;GREEDY;30;1550.9;1358.7
1000.0;0.001;60000;GREEDY;40;1550.3;1806.1
1000.0;0.001;60000;NORMAL;1;1596.8;43.9
1000.0;0.001;60000;REHEAT;1;1575.7;43.9
10000.0;0.001;3000;BOTH;10;1582.2;27.1
10000.0;0.001;3000;BOTH;20;1565.5;48.9
10000.0;0.001;3000;BOTH;30;1562.0;66.8
10000.0;0.001;3000;BOTH;40;1556.9;91.0
10000.0;0.001;3000;GREEDY;10;1583.3;26.4
10000.0;0.001;3000;GREEDY;20;1569.6;48.1
10000.0;0.001;3000;GREEDY;30;1561.1;66.0
10000.0;0.001;3000;GREEDY;40;1556.7;91.4
10000.0;0.001;3000;NORMAL;1;1654.2;2.2
10000.0;0.001;3000;REHEAT;1;1649.6;2.0
10000.0;0.001;15000;BOTH;10;1565.8;131.7
10000.0;0.001;15000;BOTH;20;1554.5;240.6
10000.0;0.001;15000;BOTH;30;1552.2;342.1
10000.0;0.001;15000;BOTH;40;1550.0;456.1
10000.0;0.001;15000;GREEDY;10;1572.1;143.0
10000.0;0.001;15000;GREEDY;20;1556.1;239.9
10000.0;0.001;15000;GREEDY;30;1556.1;343.4
10000.0;0.001;15000;GREEDY;40;1552.5;456.6
10000.0;0.001;15000;NORMAL;1;1623.4;10.8
10000.0;0.001;15000;REHEAT;1;1606.6;12.1
10000.0;0.001;30000;BOTH;10;1568.7;269.0
10000.0;0.001;30000;BOTH;20;1552.9;480.8
10000.0;0.001;30000;BOTH;30;1549.2;696.2
10000.0;0.001;30000;BOTH;40;1549.8;916.7
10000.0;0.001;30000;GREEDY;10;1565.0;269.0
10000.0;0.001;30000;GREEDY;20;1553.9;501.7
10000.0;0.001;30000;GREEDY;30;1551.3;667.6
10000.0;0.001;30000;GREEDY;40;1551.0;912.3
10000.0;0.001;30000;NORMAL;1;1596.8;23.1
10000.0;0.001;30000;REHEAT;1;1593.7;22.0
10000.0;0.001;60000;BOTH;10;1559.8;556.2
10000.0;0.001;60000;BOTH;20;1551.4;973.3
10000.0;0.001;60000;BOTH;30;1548.4;1344.6
10000.0;0.001;60000;BOTH;40;1548.2;2516.5
10000.0;0.001;60000;GREEDY;10;1562.4;530.9
10000.0;0.001;60000;GREEDY;20;1550.7;965.1
10000.0;0.001;60000;GREEDY;30;1549.0;1375.2
10000.0;0.001;60000;GREEDY;40;1549.9;1820.2
10000.0;0.001;60000;NORMAL;1;1589.1;43.5
10000.0;0.001;60000;REHEAT;1;1598.3;43.6
100000.0;0.001;3000;BOTH;10;1590.0;31.5
100000.0;0.001;3000;BOTH;20;1563.3;50.9
100000.0;0.001;3000;BOTH;30;1557.5;76.1
100000.0;0.001;3000;BOTH;40;1554.9;98.3
100000.0;0.001;3000;GREEDY;10;1585.8;34.8
100000.0;0.001;3000;GREEDY;20;1567.3;56.1
100000.0;0.001;3000;GREEDY;30;1563.1;75.2
100000.0;0.001;3000;GREEDY;40;1561.2;112.5
100000.0;0.001;3000;NORMAL;1;1628.1;2.1
100000.0;0.001;3000;REHEAT;1;1720.8;3.9
100000.0;0.001;15000;BOTH;10;1574.7;143.6
100000.0;0.001;15000;BOTH;20;1557.6;243.5
100000.0;0.001;15000;BOTH;30;1550.9;337.9
100000.0;0.001;15000;BOTH;40;1550.4;476.7
100000.0;0.001;15000;GREEDY;10;1565.9;136.2
100000.0;0.001;15000;GREEDY;20;1556.5;264.6
100000.0;0.001;15000;GREEDY;30;1552.3;358.7
100000.0;0.001;15000;GREEDY;40;1551.2;459.4
100000.0;0.001;15000;NORMAL;1;1626.9;11.1
100000.0;0.001;15000;REHEAT;1;1623.4;11.9
100000.0;0.001;30000;BOTH;10;1567.0;279.1
100000.0;0.001;30000;BOTH;20;1554.9;480.4
100000.0;0.001;30000;BOTH;30;1549.7;704.1
100000.0;0.001;30000;BOTH;40;1549.6;1005.4
100000.0;0.001;30000;GREEDY;10;1565.6;267.2
100000.0;0.001;30000;GREEDY;20;1552.8;524.4
100000.0;0.001;30000;GREEDY;30;1550.5;673.9
100000.0;0.001;30000;GREEDY;40;1549.6;960.3
100000.0;0.001;30000;NORMAL;1;1608.4;22.2
100000.0;0.001;30000;REHEAT;1;1620.7;22.1
100000.0;0.001;60000;BOTH;10;1562.1;548.0
100000.0;0.001;60000;BOTH;20;1551.2;975.1
100000.0;0.001;60000;BOTH;30;1549.0;1365.8
100000.0;0.001;60000;BOTH;40;1548.0;1857.2
100000.0;0.001;60000;GREEDY;10;1562.6;540.8
100000.0;0.001;60000;GREEDY;20;1552.0;957.3
100000.0;0.001;60000;GREEDY;30;1549.6;1384.8
100000.0;0.001;60000;GREEDY;40;1549.4;1809.0
100000.0;0.001;60000;NORMAL;1;1597.6;46.3
100000.0;0.001;60000;REHEAT;1;1598.6;43.8
1000000.0;0.001;3000;BOTH;10;1597.0;26.3
1000000.0;0.001;3000;BOTH;20;1560.2;48.3
1000000.0;0.001;3000;BOTH;30;1555.8;66.8
1000000.0;0.001;3000;BOTH;40;1557.5;89.2
1000000.0;0.001;3000;GREEDY;10;1588.1;26.6
1000000.0;0.001;3000;GREEDY;20;1565.2;66.9
1000000.0;0.001;3000;GREEDY;30;1559.4;67.8
1000000.0;0.001;3000;GREEDY;40;1560.1;90.0
1000000.0;0.001;3000;NORMAL;1;1662.9;2.0
1000000.0;0.001;3000;REHEAT;1;1768.7;2.5
1000000.0;0.001;15000;BOTH;10;1578.2;134.3
1000000.0;0.001;15000;BOTH;20;1557.6;242.9
1000000.0;0.001;15000;BOTH;30;1551.2;333.5
1000000.0;0.001;15000;BOTH;40;1549.8;467.1
1000000.0;0.001;15000;GREEDY;10;1576.4;145.5
1000000.0;0.001;15000;GREEDY;20;1557.5;248.9
1000000.0;0.001;15000;GREEDY;30;1551.2;336.2
1000000.0;0.001;15000;GREEDY;40;1550.2;494.5
1000000.0;0.001;15000;NORMAL;1;1625.5;11.3
1000000.0;0.001;15000;REHEAT;1;1700.1;11.4
1000000.0;0.001;30000;BOTH;10;1567.0;268.4
1000000.0;0.001;30000;BOTH;20;1552.5;485.3
1000000.0;0.001;30000;BOTH;30;1549.8;707.9
1000000.0;0.001;30000;BOTH;40;1549.0;925.3
1000000.0;0.001;30000;GREEDY;10;1567.1;269.6
1000000.0;0.001;30000;GREEDY;20;1553.5;503.0
1000000.0;0.001;30000;GREEDY;30;1550.6;701.2
1000000.0;0.001;30000;GREEDY;40;1549.4;929.2
1000000.0;0.001;30000;NORMAL;1;1614.8;21.9
1000000.0;0.001;30000;REHEAT;1;1709.9;22.7
1000000.0;0.001;60000;BOTH;10;1566.9;537.4
1000000.0;0.001;60000;BOTH;20;1552.1;979.6
