InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Mean_Cmax;Mean_Duration_ms
1000.0;0.001;7500;BOTH;25;3327.6;173.2
1000.0;0.001;7500;BOTH;50;3295.1;335.4
1000.0;0.001;7500;BOTH;75;3275.4;492.3
1000.0;0.001;7500;BOTH;100;3265.9;644.9
1000.0;0.001;7500;GREEDY;25;3334.2;179.2
1000.0;0.001;7500;GREEDY;50;3307.3;355.5
1000.0;0.001;7500;GREEDY;75;3300.2;503.8
1000.0;0.001;7500;GREEDY;100;3279.9;637.8
1000.0;0.001;7500;NORMAL;1;3508.0;7.6
1000.0;0.001;7500;REHEAT;1;3511.1;8.1
1000.0;0.001;37500;BOTH;25;3297.7;921.7
1000.0;0.001;37500;BOTH;50;3271.4;1655.9
1000.0;0.001;37500;BOTH;75;3257.7;2496.9
1000.0;0.001;37500;BOTH;100;3239.7;3216.3
1000.0;0.001;37500;GREEDY;25;3307.6;886.2
1000.0;0.001;37500;GREEDY;50;3270.8;1660.6
1000.0;0.001;37500;GREEDY;75;3270.1;2509.6
1000.0;0.001;37500;GREEDY;100;3247.9;3241.5
1000.0;0.001;37500;NORMAL;1;3420.0;33.0
1000.0;0.001;37500;REHEAT;1;3399.7;33.0
1000.0;0.001;75000;BOTH;25;3272.6;1756.2
1000.0;0.001;75000;BOTH;50;3260.7;3368.7
1000.0;0.001;75000;BOTH;75;3246.3;5016.1
1000.0;0.001;75000;BOTH;100;3236.1;6443.0
1000.0;0.001;75000;GREEDY;25;3276.4;1763.3
1000.0;0.001;75000;GREEDY;50;3270.5;3347.1
1000.0;0.001;75000;GREEDY;75;3251.0;5078.6
1000.0;0.001;75000;GREEDY;100;3248.8;6553.3
1000.0;0.001;75000;NORMAL;1;3390.2;64.8
1000.0;0.001;75000;REHEAT;1;3406.9;64.8
1000.0;0.001;150000;BOTH;25;3272.9;3534.4
1000.0;0.001;150000;BOTH;50;3247.7;6722.6
1000.0;0.001;150000;BOTH;75;3237.0;10079.2
1000.0;0.001;150000;BOTH;100;3225.3;13013.8
1000.0;0.001;150000;GREEDY;25;3263.4;3521.5
1000.0;0.001;150000;GREEDY;50;3249.8;6754.5
1000.0;0.001;150000;GREEDY;75;3243.5;10143.5
1000.0;0.001;150000;GREEDY;100;3235.0;12949.2
1000.0;0.001;150000;NORMAL;1;3399.7;126.9
1000.0;0.001;150000;REHEAT;1;3369.0;129.3
10000.0;0.001;7500;BOTH;25;3332.7;190.7
10000.0;0.001;7500;BOTH;50;3303.7;341.3
10000.0;0.001;7500;BOTH;75;3284.1;530.3
10000.0;0.001;7500;BOTH;100;3266.8;715.8
10000.0;0.001;7500;GREEDY;25;3339.5;182.1
10000.0;0.001;7500;GREEDY;50;3309.9;337.2
10000.0;0.001;7500;GREEDY;75;3293.1;513.1
10000.0;0.001;7500;GREEDY;100;3275.5;650.7
10000.0;0.001;7500;NORMAL;1;3500.3;10.3
10000.0;0.001;7500;REHEAT;1;3560.9;8.2
10000.0;0.001;37500;BOTH;25;3297.5;903.6
10000.0;0.001;37500;BOTH;50;3278.8;1660.1
10000.0;0.001;37500;BOTH;75;3255.5;2494.1
10000.0;0.001;37500;BOTH;100;3247.9;3231.3
10000.0;0.001;37500;GREEDY;25;3291.0;874.4
10000.0;0.001;37500;GREEDY;50;3273.5;1692.2
10000.0;0.001;37500;GREEDY;75;3256.6;2544.0
10000.0;0.001;37500;GREEDY;100;3249.7;3240.2
10000.0;0.001;37500;NORMAL;1;3442.6;33.8
10000.0;0.001;37500;REHEAT;1;3437.6;32.6
10000.0;0.001;75000;BOTH;25;3285.7;1740.9
10000.0;0.001;75000;BOTH;50;3265.7;3345.8
10000.0;0.001;75000;BOTH;75;3256.2;5134.8
10000.0;0.001;75000;BOTH;100;3236.4;6456.3
10000.0;0.001;75000;GREEDY;25;3280.2;1769.4
10000.0;0.001;75000;GREEDY;50;3263.4;3320.7
10000.0;0.001;75000;GREEDY;75;3250.5;5033.2
10000.0;0.001;75000;GREEDY;100;3235.6;6452.6
10000.0;0.001;75000;NORMAL;1;3439.0;66.1
10000.0;0.001;75000;REHEAT;1;3412.7;72.0
10000.0;0.001;150000;BOTH;25;3271.2;3533.0
10000.0;0.001;150000;BOTH;50;3255.0;6769.4
10000.0;0.001;150000;BOTH;75;3238.0;10031.1
10000.0;0.001;150000;BOTH;100;3228.7;12982.5
10000.0;0.001;150000;GREEDY;25;3285.0;3548.2
10000.0;0.001;150000;GREEDY;50;3254.8;6698.7
10000.0;0.001;150000;GREEDY;75;3238.9;10036.8
10000.0;0.001;150000;GREEDY;100;3233.9;12889.8
10000.0;0.001;150000;NORMAL;1;3368.3;130.1
10000.0;0.001;150000;REHEAT;1;3378.7;143.8
100000.0;0.001;7500;BOTH;25;3341.4;174.6
100000.0;0.001;7500;BOTH;50;3295.9;328.3
100000.0;0.001;7500;BOTH;75;3295.7;500.3
100000.0;0.001;7500;BOTH;100;3267.0;631.9
100000.0;0.001;7500;GREEDY;25;3337.8;174.4
100000.0;0.001;7500;GREEDY;50;3317.6;328.4
100000.0;0.001;7500;GREEDY;75;3285.4;506.1
100000.0;0.001;7500;GREEDY;100;3280.9;636.7
100000.0;0.001;7500;NORMAL;1;3546.4;7.4
100000.0;0.001;7500;REHEAT;1;4323.4;8.0
100000.0;0.001;37500;BOTH;25;3339.2;897.4
100000.0;0.001;37500;BOTH;50;3287.4;1726.1
100000.0;0.001;37500;BOTH;75;3265.6;2482.3
100000.0;0.001;37500;BOTH;100;3252.8;3241.9
100000.0;0.001;37500;GREEDY;25;3308.8;872.6
100000.0;0.001;37500;GREEDY;50;3285.9;1672.4
100000.0;0.001;37500;GREEDY;75;3258.1;2496.1
100000.0;0.001;37500;GREEDY;100;3255.8;3339.1
100000.0;0.001;37500;NORMAL;1;3419.2;33.2
100000.0;0.001;37500;REHEAT;1;3788.4;34.8
100000.0;0.001;75000;BOTH;25;3293.9;1752.3
100000.0;0.001;75000;BOTH;50;3282.1;3357.0
100000.0;0.001;75000;BOTH;75;3254.7;4998.5
100000.0;0.001;75000;BOTH;100;3245.6;6487.4
100000.0;0.001;75000;GREEDY;25;3281.5;1745.8
100000.0;0.001;75000;GREEDY;50;3266.8;3347.2
100000.0;0.001;75000;GREEDY;75;3254.7;5036.1
100000.0;0.001;75000;GREEDY;100;3247.3;6453.8
100000.0;0.001;75000;NORMAL;1;3420.5;65.4
100000.0;0.001;75000;REHEAT;1;3575.9;65.3
100000.0;0.001;150000;BOTH;25;3327.0;3504.5
100000.0;0.001;150000;BOTH;50;3253.9;6655.7
100000.0;0.001;150000;BOTH;75;3249.1;10044.5
100000.0;0.001;150000;BOTH;100;3236.0;12997.9
100000.0;0.001;150000;GREEDY;25;3282.0;3543.8
100000.0;0.001;150000;GREEDY;50;3257.3;6942.7
100000.0;0.001;150000;GREEDY;75;3243.4;10133.0
100000.0;0.001;150000;GREEDY;100;3236.1;12919.7
100000.0;0.001;150000;NORMAL;1;3381.5;133.6
100000.0;0.001;150000;REHEAT;1;3558.4;137.5
1000000.0;0.001;7500;BOTH;25;3393.4;172.7
1000000.0;0.001;7500;BOTH;50;3310.5;358.2
1000000.0;0.001;7500;BOTH;75;3298.1;506.3
1000000.0;0.001;7500;BOTH;100;3276.6;647.1
