InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Repetition;Cmax;Duration_ms
1000;0.001;4000;NORMAL;1;1;2300;3
1000;0.001;4000;NORMAL;1;2;2257;3
1000;0.001;4000;NORMAL;1;3;2277;4
1000;0.001;4000;NORMAL;1;4;2239;3
1000;0.001;4000;NORMAL;1;5;2197;3
1000;0.001;4000;NORMAL;1;6;2269;3
1000;0.001;4000;NORMAL;1;7;2251;3
1000;0.001;4000;NORMAL;1;8;2252;5
1000;0.001;4000;NORMAL;1;9;2316;5
1000;0.001;4000;NORMAL;1;10;2278;3
1000;0.001;4000;GREEDY;10;1;2226;42
1000;0.001;4000;GREEDY;10;2;2218;43
1000;0.001;4000;GREEDY;10;3;2200;40
1000;0.001;4000;GREEDY;10;4;2235;38
1000;0.001;4000;GREEDY;10;5;2192;42
1000;0.001;4000;GREEDY;10;6;2235;37
1000;0.001;4000;GREEDY;10;7;2215;43
1000;0.001;4000;GREEDY;10;8;2219;52
1000;0.001;4000;GREEDY;10;9;2193;38
1000;0.001;4000;GREEDY;10;10;2213;39
1000;0.001;4000;GREEDY;20;1;2191;69
1000;0.001;4000;GREEDY;20;2;2198;87
1000;0.001;4000;GREEDY;20;3;2219;82
1000;0.001;4000;GREEDY;20;4;2195;73
1000;0.001;4000;GREEDY;20;5;2176;70
1000;0.001;4000;GREEDY;20;6;2212;74
1000;0.001;4000;GREEDY;20;7;2189;68
1000;0.001;4000;GREEDY;20;8;2210;70
1000;0.001;4000;GREEDY;20;9;2188;69
1000;0.001;4000;GREEDY;20;10;2190;72
1000;0.001;4000;GREEDY;30;1;2177;97
1000;0.001;4000;GREEDY;30;2;2195;93
1000;0.001;4000;GREEDY;30;3;2173;93
1000;0.001;4000;GREEDY;30;4;2186;90
1000;0.001;4000;GREEDY;30;5;2178;90
1000;0.001;4000;GREEDY;30;6;2189;91
1000;0.001;4000;GREEDY;30;7;2195;91
1000;0.001;4000;GREEDY;30;8;2189;87
1000;0.001;4000;GREEDY;30;9;2181;86
1000;0.001;4000;GREEDY;30;10;2183;86
1000;0.001;4000;GREEDY;40;1;2202;119
1000;0.001;4000;GREEDY;40;2;2177;117
1000;0.001;4000;GREEDY;40;3;2174;116
1000;0.001;4000;GREEDY;40;4;2172;118
1000;0.001;4000;GREEDY;40;5;2187;117
1000;0.001;4000;GREEDY;40;6;2174;118
1000;0.001;4000;GREEDY;40;7;2184;117
1000;0.001;4000;GREEDY;40;8;2200;116
1000;0.001;4000;GREEDY;40;9;2197;119
1000;0.001;4000;GREEDY;40;10;2189;124
1000;0.001;4000;REHEAT;1;1;2277;3
1000;0.001;4000;REHEAT;1;2;2263;3
1000;0.001;4000;REHEAT;1;3;2287;3
1000;0.001;4000;REHEAT;1;4;2266;3
1000;0.001;4000;REHEAT;1;5;2327;3
1000;0.001;4000;REHEAT;1;6;2282;3
1000;0.001;4000;REHEAT;1;7;2270;3
1000;0.001;4000;REHEAT;1;8;2268;3
1000;0.001;4000;REHEAT;1;9;2210;3
1000;0.001;4000;REHEAT;1;10;2212;3
1000;0.001;4000;BOTH;10;1;2218;37
1000;0.001;4000;BOTH;10;2;2177;33
1000;0.001;4000;BOTH;10;3;2181;34
1000;0.001;4000;BOTH;10;4;2210;34
1000;0.001;4000;BOTH;10;5;2218;34
1000;0.001;4000;BOTH;10;6;2219;34
1000;0.001;4000;BOTH;10;7;2211;34
1000;0.001;4000;BOTH;10;8;2223;34
1000;0.001;4000;BOTH;10;9;2217;35
1000;0.001;4000;BOTH;10;10;2198;36
1000;0.001;4000;BOTH;20;1;2164;62
1000;0.001;4000;BOTH;20;2;2192;66
1000;0.001;4000;BOTH;20;3;2177;66
1000;0.001;4000;BOTH;20;4;2185;68
1000;0.001;4000;BOTH;20;5;2199;62
1000;0.001;4000;BOTH;20;6;2182;62
1000;0.001;4000;BOTH;20;7;2199;64
1000;0.001;4000;BOTH;20;8;2205;61
1000;0.001;4000;BOTH;20;9;2212;62
1000;0.001;4000;BOTH;20;10;2192;61
1000;0.001;4000;BOTH;30;1;2163;87
1000;0.001;4000;BOTH;30;2;2199;86
1000;0.001;4000;BOTH;30;3;2177;89
1000;0.001;4000;BOTH;30;4;2190;87
1000;0.001;4000;BOTH;30;5;2181;85
1000;0.001;4000;BOTH;30;6;2186;87
1000;0.001;4000;BOTH;30;7;2181;85
1000;0.001;4000;BOTH;30;8;2186;89
1000;0.001;4000;BOTH;30;9;2173;87
1000;0.001;4000;BOTH;30;10;2180;89
1000;0.001;4000;BOTH;40;1;2175;123
1000;0.001;4000;BOTH;40;2;2182;122
1000;0.001;4000;BOTH;40;3;2183;125
1000;0.001;4000;BOTH;40;4;2193;117
1000;0.001;4000;BOTH;40;5;2182;116
1000;0.001;4000;BOTH;40;6;2209;118
1000;0.001;4000;BOTH;40;7;2185;181
1000;0.001;4000;BOTH;40;8;2193;117
1000;0.001;4000;BOTH;40;9;2174;120
1000;0.001;4000;BOTH;40;10;2174;123
1000;0.001;20000;NORMAL;1;1;2225;14
1000;0.001;20000;NORMAL;1;2;2222;14
1000;0.001;20000;NORMAL;1;3;2319;14
1000;0.001;20000;NORMAL;1;4;2226;14
1000;0.001;20000;NORMAL;1;5;2214;14
1000;0.001;20000;NORMAL;1;6;2213;15
1000;0.001;20000;NORMAL;1;7;2202;15
1000;0.001;20000;NORMAL;1;8;2242;14
1000;0.001;20000;NORMAL;1;9;2255;13
1000;0.001;20000;NORMAL;1;10;2217;13
1000;0.001;20000;GREEDY;10;1;2204;174
1000;0.001;20000;GREEDY;10;2;2184;172
1000;0.001;20000;GREEDY;10;3;2179;171
1000;0.001;20000;GREEDY;10;4;2175;184
1000;0.001;20000;GREEDY;10;5;2172;178
1000;0.001;20000;GREEDY;10;6;2201;171
1000;0.001;20000;GREEDY;10;7;2201;171
1000;0.001;20000;GREEDY;10;8;2177;171
1000;0.001;20000;GREEDY;10;9;2188;170
1000;0.001;20000;GREEDY;10;10;2197;171
1000;0.001;20000;GREEDY;20;1;2192;321
1000;0.001;20000;GREEDY;20;2;2179;318
1000;0.001;20000;GREEDY;20;3;2177;319
1000;0.001;20000;GREEDY;20;4;2191;322
1000;0.001;20000;GREEDY;20;5;2186;318
1000;0.001;20000;GREEDY;20;6;2194;316
1000;0.001;20000;GREEDY;20;7;2184;330
1000;0.001;20000;GREEDY;20;8;2169;328
1000;0.001;20000;GREEDY;20;9;2184;315
1000;0.001;20000;GREEDY;20;10;2191;321
1000;0.001;20000;GREEDY;30;1;2171;509
1000;0.001;20000;GREEDY;30;2;2172;580
1000;0.001;20000;GREEDY;30;3;2174;456
1000;0.001;20000;GREEDY;30;4;2174;440
1000;0.001;20000;GREEDY;30;5;2172;446
1000;0.001;20000;GREEDY;30;6;2186;438
1000;0.001;20000;GREEDY;30;7;2187;448
1000;0.001;20000;GREEDY;30;8;2166;437
1000;0.001;20000;GREEDY;30;9;2173;448
1000;0.001;20000;GREEDY;30;10;2185;442
1000;0.001;20000;GREEDY;40;1;2181;594
1000;0.001;20000;GREEDY;40;2;2184;602
1000;0.001;20000;GREEDY;40;3;2176;588
1000;0.001;20000;GREEDY;40;4;2181;591
1000;0.001;20000;GREEDY;40;5;2174;655
1000;0.001;20000;GREEDY;40;6;2177;604
1000;0.001;20000;GREEDY;40;7;2171;600
1000;0.001;20000;GREEDY;40;8;2163;600
1000;0.001;20000;GREEDY;40;9;2175;600
1000;0.001;20000;GREEDY;40;10;2172;609
1000;0.001;20000;REHEAT;1;1;2241;14
1000;0.001;20000;REHEAT;1;2;2221;15
1000;0.001;20000;REHEAT;1;3;2228;16
1000;0.001;20000;REHEAT;1;4;2233;14
1000;0.001;20000;REHEAT;1;5;2241;15
1000;0.001;20000;REHEAT;1;6;2196;15
1000;0.001;20000;REHEAT;1;7;2244;15
1000;0.001;20000;REHEAT;1;8;2216;15
1000;0.001;20000;REHEAT;1;9;2207;16
1000;0.001;20000;REHEAT;1;10;2246;14
1000;0.001;20000;BOTH;10;1;2191;170
1000;0.001;20000;BOTH;10;2;2187;171
1000;0.001;20000;BOTH;10;3;2192;176
1000;0.001;20000;BOTH;10;4;2171;177
1000;0.001;20000;BOTH;10;5;2202;176
1000;0.001;20000;BOTH;10;6;2190;175
1000;0.001;20000;BOTH;10;7;2191;178
1000;0.001;20000;BOTH;10;8;2177;177
1000;0.001;20000;BOTH;10;9;2178;173
1000;0.001;20000;BOTH;10;10;2185;180
1000;0.001;20000;BOTH;20;1;2189;310
1000;0.001;20000;BOTH;20;2;2177;314
1000;0.001;20000;BOTH;20;3;2176;315
1000;0.001;20000;BOTH;20;4;2191;311
1000;0.001;20000;BOTH;20;5;2187;323
1000;0.001;20000;BOTH;20;6;2163;330
1000;0.001;20000;BOTH;20;7;2174;322
1000;0.001;20000;BOTH;20;8;2180;317
1000;0.001;20000;BOTH;20;9;2177;310
1000;0.001;20000;BOTH;20;10;2176;313
1000;0.001;20000;BOTH;30;1;2176;450
1000;0.001;20000;BOTH;30;2;2169;438
1000;0.001;20000;BOTH;30;3;2180;430
1000;0.001;20000;BOTH;30;4;2174;433
1000;0.001;20000;BOTH;30;5;2172;448
1000;0.001;20000;BOTH;30;6;2169;450
1000;0.001;20000;BOTH;30;7;2174;440
1000;0.001;20000;BOTH;30;8;2174;459
1000;0.001;20000;BOTH;30;9;2178;437
1000;0.001;20000;BOTH;30;10;2174;472
1000;0.001;20000;BOTH;40;1;2164;630
1000;0.001;20000;BOTH;40;2;2169;593
1000;0.001;20000;BOTH;40;3;2171;599
1000;0.001;20000;BOTH;40;4;2164;593
1000;0.001;20000;BOTH;40;5;2163;592
1000;0.001;20000;BOTH;40;6;2171;596
1000;0.001;20000;BOTH;40;7;2169;608
1000;0.001;20000;BOTH;40;8;2177;597
1000;0.001;20000;BOTH;40;9;2172;584
1000;0.001;20000;BOTH;40;10;2174;603
1000;0.001;40000;NORMAL;1;1;2232;29
1000;0.001;40000;NORMAL;1;2;2196;28
1000;0.001;40000;NORMAL;1;3;2208;28
1000;0.001;40000;NORMAL;1;4;2216;28
1000;0.001;40000;NORMAL;1;5;2194;29
1000;0.001;40000;NORMAL;1;6;2226;29
1000;0.001;40000;NORMAL;1;7;2235;28
1000;0.001;40000;NORMAL;1;8;2208;28
1000;0.001;40000;NORMAL;1;9;2188;29
1000;0.001;40000;NORMAL;1;10;2185;28
1000;0.001;40000;GREEDY;10;1;2199;350
1000;0.001;40000;GREEDY;10;2;2198;357
1000;0.001;40000;GREEDY;10;3;2188;355
1000;0.001;40000;GREEDY;10;4;2200;352
1000;0.001;40000;GREEDY;10;5;2188;358
1000;0.001;40000;GREEDY;10;6;2174;354
1000;0.001;40000;GREEDY;10;7;2177;348
1000;0.001;40000;GREEDY;10;8;2172;359
1000;0.001;40000;GREEDY;10;9;2196;377
1000;0.001;40000;GREEDY;10;10;2189;434
1000;0.001;40000;GREEDY;20;1;2184;650
1000;0.001;40000;GREEDY;20;2;2174;633
1000;0.001;40000;GREEDY;20;3;2179;620
1000;0.001;40000;GREEDY;20;4;2164;637
1000;0.001;40000;GREEDY;20;5;2177;692
1000;0.001;40000;GREEDY;20;6;2184;655
1000;0.001;40000;GREEDY;20;7;2166;644
1000;0.001;40000;GREEDY;20;8;2187;628
1000;0.001;40000;GREEDY;20;9;2169;632
1000;0.001;40000;GREEDY;20;10;2184;656
1000;0.001;40000;GREEDY;30;1;2169;873
1000;0.001;40000;GREEDY;30;2;2171;908
1000;0.001;40000;GREEDY;30;3;2169;894
1000;0.001;40000;GREEDY;30;4;2164;892
1000;0.001;40000;GREEDY;30;5;2181;877
1000;0.001;40000;GREEDY;30;6;2176;866
1000;0.001;40000;GREEDY;30;7;2179;881
1000;0.001;40000;GREEDY;30;8;2171;895
1000;0.001;40000;GREEDY;30;9;2174;877
1000;0.001;40000;GREEDY;30;10;2169;880
1000;0.001;40000;GREEDY;40;1;2166;1268
1000;0.001;40000;GREEDY;40;2;2171;1191
1000;0.001;40000;GREEDY;40;3;2166;1181
1000;0.001;40000;GREEDY;40;4;2164;1191
1000;0.001;40000;GREEDY;40;5;2163;1214
1000;0.001;40000;GREEDY;40;6;2163;1179
1000;0.001;40000;GREEDY;40;7;2169;1229
1000;0.001;40000;GREEDY;40;8;2163;1201
1000;0.001;40000;GREEDY;40;9;2179;1190
1000;0.001;40000;GREEDY;40;10;2164;1204
1000;0.001;40000;REHEAT;1;1;2212;29
1000;0.001;40000;REHEAT;1;2;2214;31
1000;0.001;40000;REHEAT;1;3;2193;30
1000;0.001;40000;REHEAT;1;4;2231;30
1000;0.001;40000;REHEAT;1;5;2196;27
1000;0.001;40000;REHEAT;1;6;2202;29
1000;0.001;40000;REHEAT;1;7;2222;27
1000;0.001;40000;REHEAT;1;8;2215;28
1000;0.001;40000;REHEAT;1;9;2239;28
1000;0.001;40000;REHEAT;1;10;2221;28
1000;0.001;40000;BOTH;10;1;2164;345
1000;0.001;40000;BOTH;10;2;2171;354
1000;0.001;40000;BOTH;10;3;2177;352
1000;0.001;40000;BOTH;10;4;2179;417
1000;0.001;40000;BOTH;10;5;2186;353
1000;0.001;40000;BOTH;10;6;2176;391
1000;0.001;40000;BOTH;10;7;2187;490
1000;0.001;40000;BOTH;10;8;2181;405
1000;0.001;40000;BOTH;10;9;2186;361
1000;0.001;40000;BOTH;10;10;2189;360
1000;0.001;40000;BOTH;20;1;2169;636
1000;0.001;40000;BOTH;20;2;2176;665
1000;0.001;40000;BOTH;20;3;2172;649
1000;0.001;40000;BOTH;20;4;2169;655
1000;0.001;40000;BOTH;20;5;2173;652
1000;0.001;40000;BOTH;20;6;2178;641
1000;0.001;40000;BOTH;20;7;2176;633
1000;0.001;40000;BOTH;20;8;2184;628
1000;0.001;40000;BOTH;20;9;2174;639
1000;0.001;40000;BOTH;20;10;2177;636
1000;0.001;40000;BOTH;30;1;2172;937
