InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Repetition;Cmax;Duration_ms
1000;0.001;4000;NORMAL;1;1;2185;3
1000;0.001;4000;NORMAL;1;2;2228;3
1000;0.001;4000;NORMAL;1;3;2260;3
1000;0.001;4000;NORMAL;1;4;2239;3
1000;0.001;4000;NORMAL;1;5;2296;3
1000;0.001;4000;NORMAL;1;6;2213;3
1000;0.001;4000;NORMAL;1;7;2256;2
1000;0.001;4000;NORMAL;1;8;2166;3
1000;0.001;4000;NORMAL;1;9;2183;3
1000;0.001;4000;NORMAL;1;10;2159;3
1000;0.001;4000;GREEDY;10;1;2116;37
1000;0.001;4000;GREEDY;10;2;2124;36
1000;0.001;4000;GREEDY;10;3;2118;34
1000;0.001;4000;GREEDY;10;4;2165;34
1000;0.001;4000;GREEDY;10;5;2141;36
1000;0.001;4000;GREEDY;10;6;2138;35
1000;0.001;4000;GREEDY;10;7;2118;39
1000;0.001;4000;GREEDY;10;8;2133;36
1000;0.001;4000;GREEDY;10;9;2121;35
1000;0.001;4000;GREEDY;10;10;2148;34
1000;0.001;4000;GREEDY;20;1;2138;65
1000;0.001;4000;GREEDY;20;2;2131;64
1000;0.001;4000;GREEDY;20;3;2124;64
1000;0.001;4000;GREEDY;20;4;2099;66
1000;0.001;4000;GREEDY;20;5;2104;62
1000;0.001;4000;GREEDY;20;6;2113;65
1000;0.001;4000;GREEDY;20;7;2165;66
1000;0.001;4000;GREEDY;20;8;2112;62
1000;0.001;4000;GREEDY;20;9;2164;62
1000;0.001;4000;GREEDY;20;10;2112;62
1000;0.001;4000;GREEDY;30;1;2113;100
1000;0.001;4000;GREEDY;30;2;2114;90
1000;0.001;4000;GREEDY;30;3;2104;94
1000;0.001;4000;GREEDY;30;4;2102;93
1000;0.001;4000;GREEDY;30;5;2113;102
1000;0.001;4000;GREEDY;30;6;2115;90
1000;0.001;4000;GREEDY;30;7;2114;93
1000;0.001;4000;GREEDY;30;8;2125;111
1000;0.001;4000;GREEDY;30;9;2127;104
1000;0.001;4000;GREEDY;30;10;2114;98
1000;0.001;4000;GREEDY;40;1;2113;144
1000;0.001;4000;GREEDY;40;2;2076;127
1000;0.001;4000;GREEDY;40;3;2120;121
1000;0.001;4000;GREEDY;40;4;2112;118
1000;0.001;4000;GREEDY;40;5;2114;124
1000;0.001;4000;GREEDY;40;6;2180;121
1000;0.001;4000;GREEDY;40;7;2111;118
1000;0.001;4000;GREEDY;40;8;2113;122
1000;0.001;4000;GREEDY;40;9;2102;118
1000;0.001;4000;GREEDY;40;10;2159;119
1000;0.001;4000;REHEAT;1;1;2185;3
1000;0.001;4000;REHEAT;1;2;2207;3
1000;0.001;4000;REHEAT;1;3;2228;3
1000;0.001;4000;REHEAT;1;4;2187;3
1000;0.001;4000;REHEAT;1;5;2216;3
1000;0.001;4000;REHEAT;1;6;2197;3
1000;0.001;4000;REHEAT;1;7;2335;3
1000;0.001;4000;REHEAT;1;8;2165;4
1000;0.001;4000;REHEAT;1;9;2219;3
1000;0.001;4000;REHEAT;1;10;2312;3
1000;0.001;4000;BOTH;10;1;2160;36
1000;0.001;4000;BOTH;10;2;2102;33
1000;0.001;4000;BOTH;10;3;2111;34
1000;0.001;4000;BOTH;10;4;2136;37
1000;0.001;4000;BOTH;10;5;2150;35
1000;0.001;4000;BOTH;10;6;2138;38
1000;0.001;4000;BOTH;10;7;2145;35
1000;0.001;4000;BOTH;10;8;2147;36
1000;0.001;4000;BOTH;10;9;2113;36
1000;0.001;4000;BOTH;10;10;2153;36
1000;0.001;4000;BOTH;20;1;2114;64
1000;0.001;4000;BOTH;20;2;2098;62
1000;0.001;4000;BOTH;20;3;2102;62
1000;0.001;4000;BOTH;20;4;2076;62
1000;0.001;4000;BOTH;20;5;2112;61
1000;0.001;4000;BOTH;20;6;2122;63
1000;0.001;4000;BOTH;20;7;2124;62
1000;0.001;4000;BOTH;20;8;2126;62
1000;0.001;4000;BOTH;20;9;2121;65
1000;0.001;4000;BOTH;20;10;2113;61
1000;0.001;4000;BOTH;30;1;2113;88
1000;0.001;4000;BOTH;30;2;2110;88
1000;0.001;4000;BOTH;30;3;2122;89
1000;0.001;4000;BOTH;30;4;2121;86
1000;0.001;4000;BOTH;30;5;2111;92
1000;0.001;4000;BOTH;30;6;2113;85
1000;0.001;4000;BOTH;30;7;2111;85
1000;0.001;4000;BOTH;30;8;2124;87
1000;0.001;4000;BOTH;30;9;2111;87
1000;0.001;4000;BOTH;30;10;2102;88
1000;0.001;4000;BOTH;40;1;2076;122
1000;0.001;4000;BOTH;40;2;2110;123
1000;0.001;4000;BOTH;40;3;2104;119
1000;0.001;4000;BOTH;40;4;2102;120
1000;0.001;4000;BOTH;40;5;2111;122
1000;0.001;4000;BOTH;40;6;2104;124
1000;0.001;4000;BOTH;40;7;2108;113
1000;0.001;4000;BOTH;40;8;2114;121
1000;0.001;4000;BOTH;40;9;2122;123
1000;0.001;4000;BOTH;40;10;2102;117
1000;0.001;20000;NORMAL;1;1;2104;14
1000;0.001;20000;NORMAL;1;2;2119;13
1000;0.001;20000;NORMAL;1;3;2140;14
1000;0.001;20000;NORMAL;1;4;2201;14
1000;0.001;20000;NORMAL;1;5;2194;14
1000;0.001;20000;NORMAL;1;6;2185;14
1000;0.001;20000;NORMAL;1;7;2161;14
1000;0.001;20000;NORMAL;1;8;2151;14
1000;0.001;20000;NORMAL;1;9;2168;14
1000;0.001;20000;NORMAL;1;10;2205;13
1000;0.001;20000;GREEDY;10;1;2118;170
1000;0.001;20000;GREEDY;10;2;2128;174
1000;0.001;20000;GREEDY;10;3;2104;174
1000;0.001;20000;GREEDY;10;4;2113;172
1000;0.001;20000;GREEDY;10;5;2076;179
1000;0.001;20000;GREEDY;10;6;2118;175
1000;0.001;20000;GREEDY;10;7;2110;175
1000;0.001;20000;GREEDY;10;8;2113;173
1000;0.001;20000;GREEDY;10;9;2114;178
1000;0.001;20000;GREEDY;10;10;2102;247
1000;0.001;20000;GREEDY;20;1;2076;312
1000;0.001;20000;GREEDY;20;2;2108;335
1000;0.001;20000;GREEDY;20;3;2076;309
1000;0.001;20000;GREEDY;20;4;2099;319
1000;0.001;20000;GREEDY;20;5;2111;315
1000;0.001;20000;GREEDY;20;6;2112;322
1000;0.001;20000;GREEDY;20;7;2111;320
1000;0.001;20000;GREEDY;20;8;2076;319
1000;0.001;20000;GREEDY;20;9;2099;315
1000;0.001;20000;GREEDY;20;10;2113;322
1000;0.001;20000;GREEDY;30;1;2104;451
1000;0.001;20000;GREEDY;30;2;2114;443
1000;0.001;20000;GREEDY;30;3;2076;445
1000;0.001;20000;GREEDY;30;4;2111;447
1000;0.001;20000;GREEDY;30;5;2102;444
1000;0.001;20000;GREEDY;30;6;2076;445
1000;0.001;20000;GREEDY;30;7;2091;446
1000;0.001;20000;GREEDY;30;8;2102;440
1000;0.001;20000;GREEDY;30;9;2104;447
1000;0.001;20000;GREEDY;30;10;2076;455
1000;0.001;20000;GREEDY;40;1;2111;600
1000;0.001;20000;GREEDY;40;2;2111;591
1000;0.001;20000;GREEDY;40;3;2076;597
1000;0.001;20000;GREEDY;40;4;2076;607
1000;0.001;20000;GREEDY;40;5;2104;604
1000;0.001;20000;GREEDY;40;6;2076;606
1000;0.001;20000;GREEDY;40;7;2076;603
1000;0.001;20000;GREEDY;40;8;2102;708
1000;0.001;20000;GREEDY;40;9;2104;686
1000;0.001;20000;GREEDY;40;10;2102;605
1000;0.001;20000;REHEAT;1;1;2149;15
1000;0.001;20000;REHEAT;1;2;2130;16
1000;0.001;20000;REHEAT;1;3;2168;15
1000;0.001;20000;REHEAT;1;4;2131;14
1000;0.001;20000;REHEAT;1;5;2196;13
1000;0.001;20000;REHEAT;1;6;2183;14
1000;0.001;20000;REHEAT;1;7;2133;14
1000;0.001;20000;REHEAT;1;8;2199;15
1000;0.001;20000;REHEAT;1;9;2113;14
1000;0.001;20000;REHEAT;1;10;2160;14
