InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Repetition;Cmax;Duration_ms
1000;0.001;2250;NORMAL;1;1;1457;2
1000;0.001;2250;NORMAL;1;2;1464;1
1000;0.001;2250;NORMAL;1;3;1507;1
1000;0.001;2250;NORMAL;1;4;1493;1
1000;0.001;2250;NORMAL;1;5;1473;2
1000;0.001;2250;NORMAL;1;6;1483;1
1000;0.001;2250;NORMAL;1;7;1448;1
1000;0.001;2250;NORMAL;1;8;1491;1
1000;0.001;2250;NORMAL;1;9;1498;1
1000;0.001;2250;NORMAL;1;10;1484;2
1000;0.001;2250;GREEDY;7;1;1435;14
1000;0.001;2250;GREEDY;7;2;1436;14
1000;0.001;2250;GREEDY;7;3;1469;14
1000;0.001;2250;GREEDY;7;4;1431;14
1000;0.001;2250;GREEDY;7;5;1448;17
1000;0.001;2250;GREEDY;7;6;1459;16
1000;0.001;2250;GREEDY;7;7;1428;13
1000;0.001;2250;GREEDY;7;8;1462;13
1000;0.001;2250;GREEDY;7;9;1447;13
1000;0.001;2250;GREEDY;7;10;1444;12
1000;0.001;2250;GREEDY;15;1;1425;29
1000;0.001;2250;GREEDY;15;2;1443;28
1000;0.001;2250;GREEDY;15;3;1447;31
1000;0.001;2250;GREEDY;15;4;1433;29
1000;0.001;2250;GREEDY;15;5;1441;26
1000;0.001;2250;GREEDY;15;6;1432;28
1000;0.001;2250;GREEDY;15;7;1446;26
1000;0.001;2250;GREEDY;15;8;1414;26
1000;0.001;2250;GREEDY;15;9;1446;27
1000;0.001;2250;GREEDY;15;10;1420;33
1000;0.001;2250;GREEDY;22;1;1420;39
1000;0.001;2250;GREEDY;22;2;1436;37
1000;0.001;2250;GREEDY;22;3;1445;38
1000;0.001;2250;GREEDY;22;4;1414;40
1000;0.001;2250;GREEDY;22;5;1418;36
1000;0.001;2250;GREEDY;22;6;1444;37
1000;0.001;2250;GREEDY;22;7;1431;37
1000;0.001;2250;GREEDY;22;8;1433;36
1000;0.001;2250;GREEDY;22;9;1445;35
1000;0.001;2250;GREEDY;22;10;1420;35
1000;0.001;2250;GREEDY;30;1;1440;47
1000;0.001;2250;GREEDY;30;2;1441;47
1000;0.001;2250;GREEDY;30;3;1420;45
1000;0.001;2250;GREEDY;30;4;1430;47
1000;0.001;2250;GREEDY;30;5;1432;48
1000;0.001;2250;GREEDY;30;6;1432;47
