InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Mean_Cmax;Mean_Duration_ms
1000.0;0.001;2250;BOTH;7;1303.7;14.2
1000.0;0.001;2250;BOTH;15;1280.3;25.7
1000.0;0.001;2250;BOTH;22;1279.6;37.1
1000.0;0.001;2250;BOTH;30;1281.0;47.3
1000.0;0.001;2250;GREEDY;7;1317.2;14.3
1000.0;0.001;2250;GREEDY;15;1283.7;26.3
1000.0;0.001;2250;GREEDY;22;1282.9;38.1
1000.0;0.001;2250;GREEDY;30;1284.2;52.3
1000.0;0.001;2250;NORMAL;1;1364.1;1.0
1000.0;0.001;2250;REHEAT;1;1347.6;1.2
1000.0;0.001;11250;BOTH;7;1290.0;68.0
1000.0;0.001;11250;BOTH;15;1275.0;139.1
1000.0;0.001;11250;BOTH;22;1275.0;186.3
1000.0;0.001;11250;BOTH;30;1275.0;238.2
1000.0;0.001;11250;GREEDY;7;1288.8;69.6
1000.0;0.001;11250;GREEDY;15;1277.4;127.8
1000.0;0.001;11250;GREEDY;22;1277.9;182.9
1000.0;0.001;11250;GREEDY;30;1275.0;239.0
1000.0;0.001;11250;NORMAL;1;1320.7;7.4
1000.0;0.001;11250;REHEAT;1;1310.0;7.3
1000.0;0.001;22500;BOTH;7;1275.8;136.8
1000.0;0.001;22500;BOTH;15;1275.0;256.3
1000.0;0.001;22500;BOTH;22;1275.0;371.5
1000.0;0.001;22500;BOTH;30;1275.0;478.4
1000.0;0.001;22500;GREEDY;7;1287.0;135.7
1000.0;0.001;22500;GREEDY;15;1276.8;266.5
1000.0;0.001;22500;GREEDY;22;1275.0;369.7
1000.0;0.001;22500;GREEDY;30;1275.0;481.5
1000.0;0.001;22500;NORMAL;1;1320.8;15.7
1000.0;0.001;22500;REHEAT;1;1305.8;14.7
1000.0;0.001;45000;BOTH;7;1276.5;282.1
1000.0;0.001;45000;BOTH;15;1275.0;511.7
1000.0;0.001;45000;BOTH;22;1275.0;755.3
1000.0;0.001;45000;BOTH;30;1275.0;952.3
1000.0;0.001;45000;GREEDY;7;1280.9;275.6
1000.0;0.001;45000;GREEDY;15;1275.0;532.7
1000.0;0.001;45000;GREEDY;22;1275.0;744.5
1000.0;0.001;45000;GREEDY;30;1275.0;952.2
1000.0;0.001;45000;NORMAL;1;1308.3;31.6
1000.0;0.001;45000;REHEAT;1;1303.1;31.8
10000.0;0.001;2250;BOTH;7;1287.4;14.1
10000.0;0.001;2250;BOTH;15;1283.3;25.4
10000.0;0.001;2250;BOTH;22;1280.4;37.7
10000.0;0.001;2250;BOTH;30;1277.8;47.8
10000.0;0.001;2250;GREEDY;7;1309.1;13.6
10000.0;0.001;2250;GREEDY;15;1292.9;25.9
10000.0;0.001;2250;GREEDY;22;1280.9;36.8
10000.0;0.001;2250;GREEDY;30;1284.4;46.8
10000.0;0.001;2250;NORMAL;1;1369.2;1.0
10000.0;0.001;2250;REHEAT;1;1358.4;1.3
10000.0;0.001;11250;BOTH;7;1285.2;71.2
10000.0;0.001;11250;BOTH;15;1275.8;128.9
10000.0;0.001;11250;BOTH;22;1275.0;186.0
10000.0;0.001;11250;BOTH;30;1275.0;240.2
10000.0;0.001;11250;GREEDY;7;1295.7;75.7
10000.0;0.001;11250;GREEDY;15;1278.2;129.5
10000.0;0.001;11250;GREEDY;22;1275.0;186.4
10000.0;0.001;11250;GREEDY;30;1275.8;236.5
10000.0;0.001;11250;NORMAL;1;1329.6;7.9
10000.0;0.001;11250;REHEAT;1;1324.8;7.9
10000.0;0.001;22500;BOTH;7;1284.3;139.1
10000.0;0.001;22500;BOTH;15;1275.8;261.9
10000.0;0.001;22500;BOTH;22;1275.0;367.3
10000.0;0.001;22500;BOTH;30;1275.0;480.5
10000.0;0.001;22500;GREEDY;7;1282.4;150.8
10000.0;0.001;22500;GREEDY;15;1276.3;261.9
10000.0;0.001;22500;GREEDY;22;1275.0;372.6
10000.0;0.001;22500;GREEDY;30;1275.0;488.6
10000.0;0.001;22500;NORMAL;1;1311.4;15.0
10000.0;0.001;22500;REHEAT;1;1321.1;15.7
10000.0;0.001;45000;BOTH;7;1279.1;276.7
10000.0;0.001;45000;BOTH;15;1275.0;517.4
10000.0;0.001;45000;BOTH;22;1275.0;759.2
10000.0;0.001;45000;BOTH;30;1275.0;958.6
10000.0;0.001;45000;GREEDY;7;1280.9;275.4
10000.0;0.001;45000;GREEDY;15;1275.0;531.4
10000.0;0.001;45000;GREEDY;22;1275.0;738.6
10000.0;0.001;45000;GREEDY;30;1275.0;953.0
10000.0;0.001;45000;NORMAL;1;1305.3;30.6
10000.0;0.001;45000;REHEAT;1;1308.4;32.3
100000.0;0.001;2250;BOTH;7;1308.0;13.3
100000.0;0.001;2250;BOTH;15;1282.4;25.1
100000.0;0.001;2250;BOTH;22;1278.1;36.8
100000.0;0.001;2250;BOTH;30;1276.3;49.2
100000.0;0.001;2250;GREEDY;7;1305.3;13.6
100000.0;0.001;2250;GREEDY;15;1289.8;25.4
100000.0;0.001;2250;GREEDY;22;1282.9;36.1
100000.0;0.001;2250;GREEDY;30;1280.3;48.6
100000.0;0.001;2250;NORMAL;1;1363.1;1.0
100000.0;0.001;2250;REHEAT;1;1397.8;1.1
100000.0;0.001;11250;BOTH;7;1290.2;69.2
100000.0;0.001;11250;BOTH;15;1275.0;128.1
100000.0;0.001;11250;BOTH;22;1275.0;185.5
100000.0;0.001;11250;BOTH;30;1275.0;250.6
100000.0;0.001;11250;GREEDY;7;1288.4;69.7
100000.0;0.001;11250;GREEDY;15;1275.8;131.1
100000.0;0.001;11250;GREEDY;22;1275.0;182.4
100000.0;0.001;11250;GREEDY;30;1275.0;239.2
100000.0;0.001;11250;NORMAL;1;1335.1;7.8
100000.0;0.001;11250;REHEAT;1;1346.0;8.0
100000.0;0.001;22500;BOTH;7;1286.6;138.3
100000.0;0.001;22500;BOTH;15;1275.0;259.0
100000.0;0.001;22500;BOTH;22;1275.0;372.7
100000.0;0.001;22500;BOTH;30;1275.0;481.3
100000.0;0.001;22500;GREEDY;7;1284.5;137.9
100000.0;0.001;22500;GREEDY;15;1275.0;256.6
100000.0;0.001;22500;GREEDY;22;1275.0;372.9
100000.0;0.001;22500;GREEDY;30;1275.0;475.9
100000.0;0.001;22500;NORMAL;1;1314.4;15.8
100000.0;0.001;22500;REHEAT;1;1321.6;15.9
100000.0;0.001;45000;BOTH;7;1283.1;281.2
100000.0;0.001;45000;BOTH;15;1275.0;523.9
100000.0;0.001;45000;BOTH;22;1275.0;758.4
100000.0;0.001;45000;BOTH;30;1275.0;960.4
100000.0;0.001;45000;GREEDY;7;1275.8;285.6
100000.0;0.001;45000;GREEDY;15;1275.0;523.7
100000.0;0.001;45000;GREEDY;22;1275.0;747.1
100000.0;0.001;45000;GREEDY;30;1275.0;951.2
100000.0;0.001;45000;NORMAL;1;1308.0;31.5
100000.0;0.001;45000;REHEAT;1;1310.6;31.4
1000000.0;0.001;2250;BOTH;7;1313.0;13.4
1000000.0;0.001;2250;BOTH;15;1282.2;24.6
1000000.0;0.001;2250;BOTH;22;1279.3;38.2
1000000.0;0.001;2250;BOTH;30;1275.8;47.7
1000000.0;0.001;2250;GREEDY;7;1306.3;13.8
1000000.0;0.001;2250;GREEDY;15;1286.6;25.9
1000000.0;0.001;2250;GREEDY;22;1284.2;36.9
1000000.0;0.001;2250;GREEDY;30;1280.2;48.0
1000000.0;0.001;2250;NORMAL;1;1360.7;1.0
1000000.0;0.001;2250;REHEAT;1;1459.8;1.1
1000000.0;0.001;11250;BOTH;7;1293.0;69.3
1000000.0;0.001;11250;BOTH;15;1275.0;130.7
1000000.0;0.001;11250;BOTH;22;1275.0;202.0
1000000.0;0.001;11250;BOTH;30;1275.0;237.6
1000000.0;0.001;11250;GREEDY;7;1290.3;69.9
1000000.0;0.001;11250;GREEDY;15;1275.8;130.6
1000000.0;0.001;11250;GREEDY;22;1275.0;184.3
1000000.0;0.001;11250;GREEDY;30;1275.0;236.9
1000000.0;0.001;11250;NORMAL;1;1343.6;8.2
1000000.0;0.001;11250;REHEAT;1;1410.1;7.6
1000000.0;0.001;22500;BOTH;7;1282.5;141.6
1000000.0;0.001;22500;BOTH;15;1275.0;258.3
1000000.0;0.001;22500;BOTH;22;1275.0;368.0
1000000.0;0.001;22500;BOTH;30;1275.0;476.4
1000000.0;0.001;22500;GREEDY;7;1286.9;136.2
1000000.0;0.001;22500;GREEDY;15;1275.8;257.0
1000000.0;0.001;22500;GREEDY;22;1275.0;367.4
1000000.0;0.001;22500;GREEDY;30;1275.0;476.0
1000000.0;0.001;22500;NORMAL;1;1330.8;16.8
1000000.0;0.001;22500;REHEAT;1;1342.9;15.4
1000000.0;0.001;45000;BOTH;7;1277.0;278.4
1000000.0;0.001;45000;BOTH;15;1275.0;541.4
1000000.0;0.001;45000;BOTH;22;1275.0;749.0
1000000.0;0.001;45000;BOTH;30;1275.0;976.7
1000000.0;0.001;45000;GREEDY;7;1280.6;293.7
1000000.0;0.001;45000;GREEDY;15;1275.0;519.2
1000000.0;0.001;45000;GREEDY;22;1275.0;744.3
1000000.0;0.001;45000;GREEDY;30;1275.0;966.4
1000000.0;0.001;45000;NORMAL;1;1310.4;31.4
1000000.0;0.001;45000;REHEAT;1;1339.9;32.7
