InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Repetition;Cmax;Duration_ms
1000;0.001;4500;NORMAL;1;1;2360;4
1000;0.001;4500;NORMAL;1;2;2357;3
1000;0.001;4500;NORMAL;1;3;2450;5
1000;0.001;4500;NORMAL;1;4;2295;3
1000;0.001;4500;NORMAL;1;5;2306;3
1000;0.001;4500;NORMAL;1;6;2344;3
1000;0.001;4500;NORMAL;1;7;2279;4
1000;0.001;4500;NORMAL;1;8;2338;3
1000;0.001;4500;NORMAL;1;9;2332;3
1000;0.001;4500;NORMAL;1;10;2334;3
1000;0.001;4500;GREEDY;15;1;2205;65
1000;0.001;4500;GREEDY;15;2;2224;58
1000;0.001;4500;GREEDY;15;3;2270;55
1000;0.001;4500;GREEDY;15;4;2289;62
1000;0.001;4500;GREEDY;15;5;2217;58
1000;0.001;4500;GREEDY;15;6;2218;60
1000;0.001;4500;GREEDY;15;7;2262;59
1000;0.001;4500;GREEDY;15;8;2265;55
1000;0.001;4500;GREEDY;15;9;2218;55
1000;0.001;4500;GREEDY;15;10;2263;106
1000;0.001;4500;GREEDY;30;1;2217;118
1000;0.001;4500;GREEDY;30;2;2231;105
1000;0.001;4500;GREEDY;30;3;2218;106
1000;0.001;4500;GREEDY;30;4;2211;108
1000;0.001;4500;GREEDY;30;5;2234;175
1000;0.001;4500;GREEDY;30;6;2191;117
1000;0.001;4500;GREEDY;30;7;2207;118
1000;0.001;4500;GREEDY;30;8;2157;112
1000;0.001;4500;GREEDY;30;9;2211;118
1000;0.001;4500;GREEDY;30;10;2181;117
1000;0.001;4500;GREEDY;45;1;2200;171
1000;0.001;4500;GREEDY;45;2;2200;166
1000;0.001;4500;GREEDY;45;3;2219;167
1000;0.001;4500;GREEDY;45;4;2229;164
1000;0.001;4500;GREEDY;45;5;2214;165
1000;0.001;4500;GREEDY;45;6;2260;162
1000;0.001;4500;GREEDY;45;7;2210;163
1000;0.001;4500;GREEDY;45;8;2244;177
1000;0.001;4500;GREEDY;45;9;2210;164
1000;0.001;4500;GREEDY;45;10;2229;169
1000;0.001;4500;GREEDY;60;1;2209;235
1000;0.001;4500;GREEDY;60;2;2176;240
1000;0.001;4500;GREEDY;60;3;2211;240
1000;0.001;4500;GREEDY;60;4;2181;282
1000;0.001;4500;GREEDY;60;5;2179;301
1000;0.001;4500;GREEDY;60;6;2203;260
1000;0.001;4500;GREEDY;60;7;2168;252
1000;0.001;4500;GREEDY;60;8;2196;213
1000;0.001;4500;GREEDY;60;9;2232;215
1000;0.001;4500;GREEDY;60;10;2223;215
1000;0.001;4500;REHEAT;1;1;2322;3
1000;0.001;4500;REHEAT;1;2;2393;4
1000;0.001;4500;REHEAT;1;3;2356;4
1000;0.001;4500;REHEAT;1;4;2360;4
1000;0.001;4500;REHEAT;1;5;2265;4
1000;0.001;4500;REHEAT;1;6;2296;4
1000;0.001;4500;REHEAT;1;7;2347;4
1000;0.001;4500;REHEAT;1;8;2290;4
1000;0.001;4500;REHEAT;1;9;2305;3
1000;0.001;4500;REHEAT;1;10;2318;3
1000;0.001;4500;BOTH;15;1;2208;56
1000;0.001;4500;BOTH;15;2;2219;58
1000;0.001;4500;BOTH;15;3;2287;55
1000;0.001;4500;BOTH;15;4;2268;60
1000;0.001;4500;BOTH;15;5;2237;58
1000;0.001;4500;BOTH;15;6;2230;60
1000;0.001;4500;BOTH;15;7;2230;64
1000;0.001;4500;BOTH;15;8;2231;59
1000;0.001;4500;BOTH;15;9;2240;58
1000;0.001;4500;BOTH;15;10;2263;57
1000;0.001;4500;BOTH;30;1;2250;104
1000;0.001;4500;BOTH;30;2;2193;103
1000;0.001;4500;BOTH;30;3;2200;103
1000;0.001;4500;BOTH;30;4;2240;106
1000;0.001;4500;BOTH;30;5;2225;104
1000;0.001;4500;BOTH;30;6;2198;103
1000;0.001;4500;BOTH;30;7;2233;109
1000;0.001;4500;BOTH;30;8;2208;104
1000;0.001;4500;BOTH;30;9;2221;103
1000;0.001;4500;BOTH;30;10;2236;103
1000;0.001;4500;BOTH;45;1;2204;172
1000;0.001;4500;BOTH;45;2;2189;165
1000;0.001;4500;BOTH;45;3;2209;174
1000;0.001;4500;BOTH;45;4;2222;167
1000;0.001;4500;BOTH;45;5;2202;174
1000;0.001;4500;BOTH;45;6;2204;162
1000;0.001;4500;BOTH;45;7;2201;165
1000;0.001;4500;BOTH;45;8;2213;161
1000;0.001;4500;BOTH;45;9;2205;165
1000;0.001;4500;BOTH;45;10;2185;169
1000;0.001;4500;BOTH;60;1;2200;208
1000;0.001;4500;BOTH;60;2;2199;206
1000;0.001;4500;BOTH;60;3;2181;207
1000;0.001;4500;BOTH;60;4;2194;207
1000;0.001;4500;BOTH;60;5;2184;203
1000;0.001;4500;BOTH;60;6;2228;203
1000;0.001;4500;BOTH;60;7;2223;208
1000;0.001;4500;BOTH;60;8;2161;210
1000;0.001;4500;BOTH;60;9;2201;202
1000;0.001;4500;BOTH;60;10;2201;208
1000;0.001;22500;NORMAL;1;1;2298;18
1000;0.001;22500;NORMAL;1;2;2330;16
1000;0.001;22500;NORMAL;1;3;2265;16
1000;0.001;22500;NORMAL;1;4;2312;17
1000;0.001;22500;NORMAL;1;5;2263;17
1000;0.001;22500;NORMAL;1;6;2253;18
1000;0.001;22500;NORMAL;1;7;2308;19
1000;0.001;22500;NORMAL;1;8;2295;19
1000;0.001;22500;NORMAL;1;9;2300;16
1000;0.001;22500;NORMAL;1;10;2305;17
1000;0.001;22500;GREEDY;15;1;2230;280
1000;0.001;22500;GREEDY;15;2;2205;285
1000;0.001;22500;GREEDY;15;3;2250;284
