InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Mean_Cmax;Mean_Duration_ms
1000.0;0.001;6000;BOTH;15;3064.5;75.2
1000.0;0.001;6000;BOTH;30;3046.2;140.4
1000.0;0.001;6000;BOTH;45;3037.7;228.2
1000.0;0.001;6000;BOTH;60;3027.9;282.0
1000.0;0.001;6000;GREEDY;15;3087.4;80.1
1000.0;0.001;6000;GREEDY;30;3049.3;150.1
1000.0;0.001;6000;GREEDY;45;3046.7;218.1
1000.0;0.001;6000;GREEDY;60;3045.2;282.5
1000.0;0.001;6000;NORMAL;1;3203.5;5.2
1000.0;0.001;6000;REHEAT;1;3217.9;4.8
1000.0;0.001;30000;BOTH;15;3024.5;386.6
1000.0;0.001;30000;BOTH;30;3006.2;704.3
1000.0;0.001;30000;BOTH;45;3013.5;1127.7
1000.0;0.001;30000;BOTH;60;3012.4;1449.7
1000.0;0.001;30000;GREEDY;15;3036.1;410.9
1000.0;0.001;30000;GREEDY;30;3029.9;719.4
1000.0;0.001;30000;GREEDY;45;3012.8;1097.9
1000.0;0.001;30000;GREEDY;60;3010.9;1490.9
1000.0;0.001;30000;NORMAL;1;3165.4;23.1
1000.0;0.001;30000;REHEAT;1;3164.7;25.0
1000.0;0.001;60000;BOTH;15;3013.3;820.2
1000.0;0.001;60000;BOTH;30;3003.2;1437.3
1000.0;0.001;60000;BOTH;45;2998.8;2255.3
1000.0;0.001;60000;BOTH;60;3004.0;2852.6
1000.0;0.001;60000;GREEDY;15;3035.5;770.5
1000.0;0.001;60000;GREEDY;30;3008.7;1462.4
1000.0;0.001;60000;GREEDY;45;3009.0;2194.8
1000.0;0.001;60000;GREEDY;60;3005.2;2850.5
1000.0;0.001;60000;NORMAL;1;3121.5;47.0
1000.0;0.001;60000;REHEAT;1;3118.6;46.9
1000.0;0.001;120000;BOTH;15;3008.4;1534.8
1000.0;0.001;120000;BOTH;30;2993.3;2892.9
1000.0;0.001;120000;BOTH;45;2993.3;4447.5
1000.0;0.001;120000;BOTH;60;2998.2;5674.6
1000.0;0.001;120000;GREEDY;15;3022.1;1542.3
1000.0;0.001;120000;GREEDY;30;2996.6;2858.9
1000.0;0.001;120000;GREEDY;45;2993.5;4434.9
1000.0;0.001;120000;GREEDY;60;2992.0;5724.1
1000.0;0.001;120000;NORMAL;1;3093.6;89.9
1000.0;0.001;120000;REHEAT;1;3083.1;90.4
10000.0;0.001;6000;BOTH;15;3088.6;76.4
10000.0;0.001;6000;BOTH;30;3055.8;140.0
10000.0;0.001;6000;BOTH;45;3030.8;227.6
10000.0;0.001;6000;BOTH;60;3032.5;282.2
10000.0;0.001;6000;GREEDY;15;3097.3;75.6
10000.0;0.001;6000;GREEDY;30;3071.8;141.9
10000.0;0.001;6000;GREEDY;45;3042.3;217.7
10000.0;0.001;6000;GREEDY;60;3032.7;284.8
10000.0;0.001;6000;NORMAL;1;3203.6;4.6
10000.0;0.001;6000;REHEAT;1;3214.7;5.2
10000.0;0.001;30000;BOTH;15;3049.0;381.3
10000.0;0.001;30000;BOTH;30;3012.4;734.9
10000.0;0.001;30000;BOTH;45;3000.0;1097.6
10000.0;0.001;30000;BOTH;60;3004.7;1438.6
10000.0;0.001;30000;GREEDY;15;3047.4;384.3
10000.0;0.001;30000;GREEDY;30;3010.2;709.1
10000.0;0.001;30000;GREEDY;45;3019.6;1142.4
10000.0;0.001;30000;GREEDY;60;3016.4;1402.6
10000.0;0.001;30000;NORMAL;1;3155.4;23.3
10000.0;0.001;30000;REHEAT;1;3191.9;23.5
10000.0;0.001;60000;BOTH;15;3024.7;769.4
10000.0;0.001;60000;BOTH;30;3005.2;1435.2
10000.0;0.001;60000;BOTH;45;2991.6;2190.6
10000.0;0.001;60000;BOTH;60;2996.3;2847.0
10000.0;0.001;60000;GREEDY;15;3028.3;765.5
10000.0;0.001;60000;GREEDY;30;3003.7;1430.2
10000.0;0.001;60000;GREEDY;45;2998.9;2263.8
10000.0;0.001;60000;GREEDY;60;2993.8;2890.2
10000.0;0.001;60000;NORMAL;1;3141.0;45.8
10000.0;0.001;60000;REHEAT;1;3118.3;47.2
10000.0;0.001;120000;BOTH;15;3021.0;1566.0
10000.0;0.001;120000;BOTH;30;2995.7;2859.9
10000.0;0.001;120000;BOTH;45;2985.7;4415.9
10000.0;0.001;120000;BOTH;60;2986.2;5751.9
10000.0;0.001;120000;GREEDY;15;3017.7;1584.2
10000.0;0.001;120000;GREEDY;30;3006.2;2850.6
10000.0;0.001;120000;GREEDY;45;2990.2;4428.0
10000.0;0.001;120000;GREEDY;60;2994.2;5725.8
10000.0;0.001;120000;NORMAL;1;3101.4;91.9
10000.0;0.001;120000;REHEAT;1;3104.9;92.4
100000.0;0.001;6000;BOTH;15;3108.9;91.3
100000.0;0.001;6000;BOTH;30;3054.7;161.0
100000.0;0.001;6000;BOTH;45;3037.5;225.5
100000.0;0.001;6000;BOTH;60;3028.6;284.9
100000.0;0.001;6000;GREEDY;15;3083.3;101.2
100000.0;0.001;6000;GREEDY;30;3048.5;150.7
100000.0;0.001;6000;GREEDY;45;3039.5;221.2
100000.0;0.001;6000;GREEDY;60;3032.3;283.5
100000.0;0.001;6000;NORMAL;1;3243.6;5.4
100000.0;0.001;6000;REHEAT;1;3210.2;4.9
100000.0;0.001;30000;BOTH;15;3038.9;382.6
100000.0;0.001;30000;BOTH;30;3005.1;712.8
100000.0;0.001;30000;BOTH;45;3000.8;1122.1
100000.0;0.001;30000;BOTH;60;3001.1;1409.3
100000.0;0.001;30000;GREEDY;15;3039.0;383.0
100000.0;0.001;30000;GREEDY;30;3013.3;773.3
100000.0;0.001;30000;GREEDY;45;3011.8;1117.4
100000.0;0.001;30000;GREEDY;60;3003.2;1420.1
100000.0;0.001;30000;NORMAL;1;3154.0;23.2
100000.0;0.001;30000;REHEAT;1;3197.7;23.1
100000.0;0.001;60000;BOTH;15;3039.7;773.4
100000.0;0.001;60000;BOTH;30;3011.0;1415.2
100000.0;0.001;60000;BOTH;45;2992.3;2224.0
100000.0;0.001;60000;BOTH;60;2992.9;2818.6
100000.0;0.001;60000;GREEDY;15;3032.5;814.1
100000.0;0.001;60000;GREEDY;30;3006.8;1423.0
100000.0;0.001;60000;GREEDY;45;2999.0;2235.6
100000.0;0.001;60000;GREEDY;60;2994.3;2808.2
100000.0;0.001;60000;NORMAL;1;3157.5;45.8
100000.0;0.001;60000;REHEAT;1;3129.8;46.0
100000.0;0.001;120000;BOTH;15;3022.7;1528.6
100000.0;0.001;120000;BOTH;30;2997.1;2857.6
100000.0;0.001;120000;BOTH;45;2988.0;4471.4
100000.0;0.001;120000;BOTH;60;2987.5;5771.5
100000.0;0.001;120000;GREEDY;15;3022.6;1568.4
100000.0;0.001;120000;GREEDY;30;3000.8;2866.5
100000.0;0.001;120000;GREEDY;45;2988.9;4428.1
100000.0;0.001;120000;GREEDY;60;2995.7;5684.4
100000.0;0.001;120000;NORMAL;1;3097.9;91.4
100000.0;0.001;120000;REHEAT;1;3113.9;93.6
1000000.0;0.001;6000;BOTH;15;3101.7;84.2
1000000.0;0.001;6000;BOTH;30;3042.7;142.3
1000000.0;0.001;6000;BOTH;45;3037.7;217.2
1000000.0;0.001;6000;BOTH;60;3028.0;285.0
1000000.0;0.001;6000;GREEDY;15;3096.8;75.4
1000000.0;0.001;6000;GREEDY;30;3057.6;141.2
1000000.0;0.001;6000;GREEDY;45;3042.7;217.8
1000000.0;0.001;6000;GREEDY;60;3046.3;278.0
1000000.0;0.001;6000;NORMAL;1;3240.4;4.9
1000000.0;0.001;6000;REHEAT;1;3349.2;5.0
1000000.0;0.001;30000;BOTH;15;3071.4;383.5
1000000.0;0.001;30000;BOTH;30;3014.6;713.5
1000000.0;0.001;30000;BOTH;45;2997.1;1116.0
1000000.0;0.001;30000;BOTH;60;3007.7;1459.8
1000000.0;0.001;30000;GREEDY;15;3058.2;383.8
1000000.0;0.001;30000;GREEDY;30;3012.4;735.4
1000000.0;0.001;30000;GREEDY;45;3012.1;1128.5
1000000.0;0.001;30000;GREEDY;60;2996.3;1443.5
1000000.0;0.001;30000;NORMAL;1;3180.4;24.5
1000000.0;0.001;30000;REHEAT;1;3232.8;23.5
1000000.0;0.001;60000;BOTH;15;3047.8;901.5
1000000.0;0.001;60000;BOTH;30;2997.8;1614.2
1000000.0;0.001;60000;BOTH;45;2997.7;2519.1
1000000.0;0.001;60000;BOTH;60;2993.6;3512.4
1000000.0;0.001;60000;GREEDY;15;3042.5;762.8
1000000.0;0.001;60000;GREEDY;30;3009.0;1420.5
1000000.0;0.001;60000;GREEDY;45;3009.5;2201.3
1000000.0;0.001;60000;GREEDY;60;2998.7;2863.6
1000000.0;0.001;60000;NORMAL;1;3124.2;46.5
1000000.0;0.001;60000;REHEAT;1;3165.6;47.2
1000000.0;0.001;120000;BOTH;15;3041.7;1535.4
1000000.0;0.001;120000;BOTH;30;3002.4;2895.6
1000000.0;0.001;120000;BOTH;45;2983.1;4397.4
1000000.0;0.001;120000;BOTH;60;2983.4;5688.0
1000000.0;0.001;120000;GREEDY;15;3013.1;1823.3
1000000.0;0.001;120000;GREEDY;30;3000.6;3331.1
1000000.0;0.001;120000;GREEDY;45;2991.8;5123.1
1000000.0;0.001;120000;GREEDY;60;2991.5;5713.7
1000000.0;0.001;120000;NORMAL;1;3107.4;112.0
1000000.0;0.001;120000;REHEAT;1;3270.7;115.2
