InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Mean_Cmax;Mean_Duration_ms
1000.0;0.001;2250;BOTH;7;1441.9;13.2
1000.0;0.001;2250;BOTH;15;1429.9;25.5
1000.0;0.001;2250;BOTH;22;1424.5;38.3
1000.0;0.001;2250;BOTH;30;1424.7;52.3
1000.0;0.001;2250;GREEDY;7;1445.9;14.0
1000.0;0.001;2250;GREEDY;15;1434.7;28.3
1000.0;0.001;2250;GREEDY;22;1430.6;37.0
1000.0;0.001;2250;GREEDY;30;1432.5;47.1
1000.0;0.001;2250;NORMAL;1;1479.8;1.3
1000.0;0.001;2250;REHEAT;1;1478.2;1.1
1000.0;0.001;11250;BOTH;7;1427.5;67.6
1000.0;0.001;11250;BOTH;15;1415.6;130.4
1000.0;0.001;11250;BOTH;22;1418.5;187.8
1000.0;0.001;11250;BOTH;30;1414.8;251.7
1000.0;0.001;11250;GREEDY;7;1436.6;75.9
1000.0;0.001;11250;GREEDY;15;1424.5;130.5
1000.0;0.001;11250;GREEDY;22;1419.5;192.4
1000.0;0.001;11250;GREEDY;30;1418.8;237.1
1000.0;0.001;11250;NORMAL;1;1462.5;7.8
1000.0;0.001;11250;REHEAT;1;1452.6;7.8
1000.0;0.001;22500;BOTH;7;1427.5;144.9
1000.0;0.001;22500;BOTH;15;1415.5;258.1
1000.0;0.001;22500;BOTH;22;1414.8;369.5
1000.0;0.001;22500;BOTH;30;1414.0;473.8
1000.0;0.001;22500;GREEDY;7;1430.5;143.7
1000.0;0.001;22500;GREEDY;15;1418.1;257.8
1000.0;0.001;22500;GREEDY;22;1417.9;367.4
1000.0;0.001;22500;GREEDY;30;1417.9;479.7
1000.0;0.001;22500;NORMAL;1;1454.2;15.2
1000.0;0.001;22500;REHEAT;1;1446.6;15.0
1000.0;0.001;45000;BOTH;7;1420.1;315.3
1000.0;0.001;45000;BOTH;15;1414.3;545.8
1000.0;0.001;45000;BOTH;22;1414.1;764.8
1000.0;0.001;45000;BOTH;30;1414.1;971.1
1000.0;0.001;45000;GREEDY;7;1421.9;291.2
1000.0;0.001;45000;GREEDY;15;1415.8;532.4
1000.0;0.001;45000;GREEDY;22;1415.2;845.3
1000.0;0.001;45000;GREEDY;30;1414.3;1113.3
1000.0;0.001;45000;NORMAL;1;1441.5;32.3
1000.0;0.001;45000;REHEAT;1;1438.6;36.7
10000.0;0.001;2250;BOTH;7;1449.9;13.8
10000.0;0.001;2250;BOTH;15;1430.1;27.1
10000.0;0.001;2250;BOTH;22;1425.2;37.0
10000.0;0.001;2250;BOTH;30;1425.4;48.1
10000.0;0.001;2250;GREEDY;7;1457.9;13.8
10000.0;0.001;2250;GREEDY;15;1436.6;26.1
10000.0;0.001;2250;GREEDY;22;1433.7;36.7
10000.0;0.001;2250;GREEDY;30;1429.9;47.3
10000.0;0.001;2250;NORMAL;1;1479.3;1.1
10000.0;0.001;2250;REHEAT;1;1506.6;1.1
10000.0;0.001;11250;BOTH;7;1428.3;71.3
10000.0;0.001;11250;BOTH;15;1416.5;132.0
10000.0;0.001;11250;BOTH;22;1416.0;194.7
10000.0;0.001;11250;BOTH;30;1414.9;240.4
10000.0;0.001;11250;GREEDY;7;1432.7;69.8
10000.0;0.001;11250;GREEDY;15;1423.5;128.7
10000.0;0.001;11250;GREEDY;22;1417.8;186.7
10000.0;0.001;11250;GREEDY;30;1416.5;254.4
10000.0;0.001;11250;NORMAL;1;1466.6;7.9
10000.0;0.001;11250;REHEAT;1;1468.1;8.5
10000.0;0.001;22500;BOTH;7;1428.5;144.0
10000.0;0.001;22500;BOTH;15;1417.0;264.3
10000.0;0.001;22500;BOTH;22;1414.6;378.2
10000.0;0.001;22500;BOTH;30;1414.0;506.4
10000.0;0.001;22500;GREEDY;7;1426.3;142.7
10000.0;0.001;22500;GREEDY;15;1418.7;262.8
