InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Repetition;Cmax;Duration_ms
1000;0.001;6000;NORMAL;1;1;3179;5
1000;0.001;6000;NORMAL;1;2;3228;6
1000;0.001;6000;NORMAL;1;3;3213;7
1000;0.001;6000;NORMAL;1;4;3179;5
1000;0.001;6000;NORMAL;1;5;3186;6
1000;0.001;6000;NORMAL;1;6;3221;5
1000;0.001;6000;NORMAL;1;7;3141;5
1000;0.001;6000;NORMAL;1;8;3230;5
1000;0.001;6000;NORMAL;1;9;3218;4
1000;0.001;6000;NORMAL;1;10;3240;4
1000;0.001;6000;GREEDY;15;1;3049;80
1000;0.001;6000;GREEDY;15;2;3061;78
1000;0.001;6000;GREEDY;15;3;3043;84
1000;0.001;6000;GREEDY;15;4;3124;80
1000;0.001;6000;GREEDY;15;5;3165;84
1000;0.001;6000;GREEDY;15;6;3058;80
1000;0.001;6000;GREEDY;15;7;3089;80
1000;0.001;6000;GREEDY;15;8;3070;77
1000;0.001;6000;GREEDY;15;9;3091;80
1000;0.001;6000;GREEDY;15;10;3124;78
1000;0.001;6000;GREEDY;30;1;3054;150
1000;0.001;6000;GREEDY;30;2;3042;157
1000;0.001;6000;GREEDY;30;3;3055;151
1000;0.001;6000;GREEDY;30;4;3050;153
1000;0.001;6000;GREEDY;30;5;3023;146
1000;0.001;6000;GREEDY;30;6;3029;151
1000;0.001;6000;GREEDY;30;7;3124;150
1000;0.001;6000;GREEDY;30;8;3038;148
1000;0.001;6000;GREEDY;30;9;3021;147
1000;0.001;6000;GREEDY;30;10;3057;148
1000;0.001;6000;GREEDY;45;1;3079;216
1000;0.001;6000;GREEDY;45;2;3022;217
1000;0.001;6000;GREEDY;45;3;3093;215
1000;0.001;6000;GREEDY;45;4;3065;223
1000;0.001;6000;GREEDY;45;5;3012;216
1000;0.001;6000;GREEDY;45;6;3030;225
1000;0.001;6000;GREEDY;45;7;3075;228
1000;0.001;6000;GREEDY;45;8;3008;217
1000;0.001;6000;GREEDY;45;9;3035;212
1000;0.001;6000;GREEDY;45;10;3048;212
1000;0.001;6000;GREEDY;60;1;3029;276
1000;0.001;6000;GREEDY;60;2;3040;282
1000;0.001;6000;GREEDY;60;3;3067;281
1000;0.001;6000;GREEDY;60;4;3085;280
1000;0.001;6000;GREEDY;60;5;3040;283
1000;0.001;6000;GREEDY;60;6;3037;288
1000;0.001;6000;GREEDY;60;7;3040;275
1000;0.001;6000;GREEDY;60;8;3004;285
1000;0.001;6000;GREEDY;60;9;3077;297
1000;0.001;6000;GREEDY;60;10;3033;278
1000;0.001;6000;REHEAT;1;1;3237;5
1000;0.001;6000;REHEAT;1;2;3235;5
1000;0.001;6000;REHEAT;1;3;3202;5
1000;0.001;6000;REHEAT;1;4;3313;7
1000;0.001;6000;REHEAT;1;5;3105;4
1000;0.001;6000;REHEAT;1;6;3222;4
1000;0.001;6000;REHEAT;1;7;3156;5
1000;0.001;6000;REHEAT;1;8;3324;4
1000;0.001;6000;REHEAT;1;9;3198;4
1000;0.001;6000;REHEAT;1;10;3187;5
1000;0.001;6000;BOTH;15;1;3109;74
1000;0.001;6000;BOTH;15;2;3098;76
1000;0.001;6000;BOTH;15;3;3042;74
1000;0.001;6000;BOTH;15;4;3104;75
1000;0.001;6000;BOTH;15;5;3035;80
1000;0.001;6000;BOTH;15;6;3051;74
1000;0.001;6000;BOTH;15;7;3037;75
1000;0.001;6000;BOTH;15;8;3068;73
1000;0.001;6000;BOTH;15;9;3043;75
1000;0.001;6000;BOTH;15;10;3058;76
1000;0.001;6000;BOTH;30;1;3056;139
1000;0.001;6000;BOTH;30;2;3025;145
1000;0.001;6000;BOTH;30;3;3058;142
1000;0.001;6000;BOTH;30;4;2998;148
1000;0.001;6000;BOTH;30;5;3078;139
1000;0.001;6000;BOTH;30;6;3042;134
1000;0.001;6000;BOTH;30;7;3057;142
1000;0.001;6000;BOTH;30;8;3033;138
1000;0.001;6000;BOTH;30;9;3062;141
1000;0.001;6000;BOTH;30;10;3053;136
1000;0.001;6000;BOTH;45;1;3048;218
1000;0.001;6000;BOTH;45;2;3027;218
1000;0.001;6000;BOTH;45;3;3053;217
1000;0.001;6000;BOTH;45;4;3042;230
1000;0.001;6000;BOTH;45;5;3016;216
1000;0.001;6000;BOTH;45;6;3059;216
1000;0.001;6000;BOTH;45;7;3050;214
1000;0.001;6000;BOTH;45;8;3038;240
1000;0.001;6000;BOTH;45;9;3010;230
1000;0.001;6000;BOTH;45;10;3034;283
1000;0.001;6000;BOTH;60;1;3093;279
1000;0.001;6000;BOTH;60;2;3031;291
1000;0.001;6000;BOTH;60;3;3015;282
1000;0.001;6000;BOTH;60;4;3013;282
1000;0.001;6000;BOTH;60;5;2994;288
1000;0.001;6000;BOTH;60;6;3052;289
1000;0.001;6000;BOTH;60;7;3028;282
1000;0.001;6000;BOTH;60;8;2996;276
1000;0.001;6000;BOTH;60;9;3006;268
1000;0.001;6000;BOTH;60;10;3051;283
1000;0.001;30000;NORMAL;1;1;3086;22
1000;0.001;30000;NORMAL;1;2;3181;23
1000;0.001;30000;NORMAL;1;3;3174;23
1000;0.001;30000;NORMAL;1;4;3162;22
1000;0.001;30000;NORMAL;1;5;3188;22
1000;0.001;30000;NORMAL;1;6;3171;23
1000;0.001;30000;NORMAL;1;7;3211;23
1000;0.001;30000;NORMAL;1;8;3166;23
1000;0.001;30000;NORMAL;1;9;3109;24
1000;0.001;30000;NORMAL;1;10;3206;26
1000;0.001;30000;GREEDY;15;1;3024;378
1000;0.001;30000;GREEDY;15;2;3019;376
1000;0.001;30000;GREEDY;15;3;3063;429
1000;0.001;30000;GREEDY;15;4;3021;545
1000;0.001;30000;GREEDY;15;5;3078;428
1000;0.001;30000;GREEDY;15;6;3024;382
1000;0.001;30000;GREEDY;15;7;3018;382
1000;0.001;30000;GREEDY;15;8;3014;415
1000;0.001;30000;GREEDY;15;9;3091;393
1000;0.001;30000;GREEDY;15;10;3009;381
1000;0.001;30000;GREEDY;30;1;3041;721
1000;0.001;30000;GREEDY;30;2;3029;718
1000;0.001;30000;GREEDY;30;3;3016;721
1000;0.001;30000;GREEDY;30;4;3045;719
1000;0.001;30000;GREEDY;30;5;3021;723
1000;0.001;30000;GREEDY;30;6;3025;703
1000;0.001;30000;GREEDY;30;7;3010;702
1000;0.001;30000;GREEDY;30;8;3029;713
1000;0.001;30000;GREEDY;30;9;3025;767
1000;0.001;30000;GREEDY;30;10;3058;707
1000;0.001;30000;GREEDY;45;1;2988;1084
1000;0.001;30000;GREEDY;45;2;3018;1101
1000;0.001;30000;GREEDY;45;3;3029;1078
1000;0.001;30000;GREEDY;45;4;3018;1112
1000;0.001;30000;GREEDY;45;5;3073;1091
1000;0.001;30000;GREEDY;45;6;3023;1105
1000;0.001;30000;GREEDY;45;7;2985;1094
1000;0.001;30000;GREEDY;45;8;3001;1112
1000;0.001;30000;GREEDY;45;9;2994;1094
1000;0.001;30000;GREEDY;45;10;2999;1108
1000;0.001;30000;GREEDY;60;1;3042;1460
1000;0.001;30000;GREEDY;60;2;3017;1416
1000;0.001;30000;GREEDY;60;3;2990;1378
1000;0.001;30000;GREEDY;60;4;3012;1437
1000;0.001;30000;GREEDY;60;5;2990;1393
1000;0.001;30000;GREEDY;60;6;3010;1436
1000;0.001;30000;GREEDY;60;7;2995;1634
1000;0.001;30000;GREEDY;60;8;3020;1480
1000;0.001;30000;GREEDY;60;9;3001;1543
1000;0.001;30000;GREEDY;60;10;3032;1732
1000;0.001;30000;REHEAT;1;1;3181;27
1000;0.001;30000;REHEAT;1;2;3211;23
1000;0.001;30000;REHEAT;1;3;3211;25
1000;0.001;30000;REHEAT;1;4;3151;25
1000;0.001;30000;REHEAT;1;5;3183;27
1000;0.001;30000;REHEAT;1;6;3184;25
1000;0.001;30000;REHEAT;1;7;3163;24
1000;0.001;30000;REHEAT;1;8;3176;28
1000;0.001;30000;REHEAT;1;9;3081;23
1000;0.001;30000;REHEAT;1;10;3106;23
1000;0.001;30000;BOTH;15;1;3028;388
1000;0.001;30000;BOTH;15;2;3019;395
1000;0.001;30000;BOTH;15;3;3027;394
1000;0.001;30000;BOTH;15;4;3013;374
1000;0.001;30000;BOTH;15;5;3004;377
1000;0.001;30000;BOTH;15;6;3014;384
1000;0.001;30000;BOTH;15;7;3035;399
1000;0.001;30000;BOTH;15;8;3058;385
1000;0.001;30000;BOTH;15;9;3039;384
1000;0.001;30000;BOTH;15;10;3008;386
1000;0.001;30000;BOTH;30;1;3002;722
1000;0.001;30000;BOTH;30;2;3006;708
