InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Repetition;Cmax;Duration_ms
1000;0.001;10000;NORMAL;1;1;4822;10
1000;0.001;10000;NORMAL;1;2;4814;11
1000;0.001;10000;NORMAL;1;3;4824;10
1000;0.001;10000;NORMAL;1;4;4724;9
1000;0.001;10000;NORMAL;1;5;4660;9
1000;0.001;10000;NORMAL;1;6;4816;9
1000;0.001;10000;NORMAL;1;7;4677;12
1000;0.001;10000;NORMAL;1;8;4745;12
1000;0.001;10000;NORMAL;1;9;4798;10
1000;0.001;10000;NORMAL;1;10;4811;11
1000;0.001;10000;GREEDY;25;1;4530;239
1000;0.001;10000;GREEDY;25;2;4562;243
1000;0.001;10000;GREEDY;25;3;4511;239
1000;0.001;10000;GREEDY;25;4;4598;233
1000;0.001;10000;GREEDY;25;5;4520;247
1000;0.001;10000;GREEDY;25;6;4588;297
1000;0.001;10000;GREEDY;25;7;4525;254
1000;0.001;10000;GREEDY;25;8;4580;239
1000;0.001;10000;GREEDY;25;9;4556;239
1000;0.001;10000;GREEDY;25;10;4608;233
1000;0.001;10000;GREEDY;50;1;4569;434
1000;0.001;10000;GREEDY;50;2;4515;454
1000;0.001;10000;GREEDY;50;3;4531;442
1000;0.001;10000;GREEDY;50;4;4492;497
1000;0.001;10000;GREEDY;50;5;4502;429
1000;0.001;10000;GREEDY;50;6;4503;435
1000;0.001;10000;GREEDY;50;7;4511;451
1000;0.001;10000;GREEDY;50;8;4529;464
1000;0.001;10000;GREEDY;50;9;4571;450
1000;0.001;10000;GREEDY;50;10;4544;433
1000;0.001;10000;GREEDY;75;1;4506;671
1000;0.001;10000;GREEDY;75;2;4550;648
1000;0.001;10000;GREEDY;75;3;4468;663
1000;0.001;10000;GREEDY;75;4;4537;667
1000;0.001;10000;GREEDY;75;5;4505;677
1000;0.001;10000;GREEDY;75;6;4508;706
1000;0.001;10000;GREEDY;75;7;4499;764
1000;0.001;10000;GREEDY;75;8;4487;719
1000;0.001;10000;GREEDY;75;9;4513;840
1000;0.001;10000;GREEDY;75;10;4447;742
1000;0.001;10000;GREEDY;100;1;4519;860
1000;0.001;10000;GREEDY;100;2;4513;914
1000;0.001;10000;GREEDY;100;3;4484;859
1000;0.001;10000;GREEDY;100;4;4466;864
1000;0.001;10000;GREEDY;100;5;4487;914
1000;0.001;10000;GREEDY;100;6;4446;862
1000;0.001;10000;GREEDY;100;7;4458;866
1000;0.001;10000;GREEDY;100;8;4486;859
1000;0.001;10000;GREEDY;100;9;4502;868
1000;0.001;10000;GREEDY;100;10;4473;851
1000;0.001;10000;REHEAT;1;1;4717;10
1000;0.001;10000;REHEAT;1;2;4679;10
1000;0.001;10000;REHEAT;1;3;4718;9
1000;0.001;10000;REHEAT;1;4;4781;10
1000;0.001;10000;REHEAT;1;5;4677;12
1000;0.001;10000;REHEAT;1;6;4728;9
1000;0.001;10000;REHEAT;1;7;4777;10
1000;0.001;10000;REHEAT;1;8;4773;9
1000;0.001;10000;REHEAT;1;9;4776;9
1000;0.001;10000;REHEAT;1;10;4755;9
1000;0.001;10000;BOTH;25;1;4537;236
1000;0.001;10000;BOTH;25;2;4593;237
1000;0.001;10000;BOTH;25;3;4513;232
1000;0.001;10000;BOTH;25;4;4534;235
1000;0.001;10000;BOTH;25;5;4506;238
1000;0.001;10000;BOTH;25;6;4531;233
1000;0.001;10000;BOTH;25;7;4538;244
1000;0.001;10000;BOTH;25;8;4535;233
1000;0.001;10000;BOTH;25;9;4542;240
1000;0.001;10000;BOTH;25;10;4564;232
1000;0.001;10000;BOTH;50;1;4501;455
1000;0.001;10000;BOTH;50;2;4500;430
1000;0.001;10000;BOTH;50;3;4540;438
1000;0.001;10000;BOTH;50;4;4463;466
1000;0.001;10000;BOTH;50;5;4492;458
1000;0.001;10000;BOTH;50;6;4513;449
1000;0.001;10000;BOTH;50;7;4529;451
1000;0.001;10000;BOTH;50;8;4513;459
1000;0.001;10000;BOTH;50;9;4494;436
1000;0.001;10000;BOTH;50;10;4513;445
1000;0.001;10000;BOTH;75;1;4480;663
1000;0.001;10000;BOTH;75;2;4461;669
1000;0.001;10000;BOTH;75;3;4519;674
1000;0.001;10000;BOTH;75;4;4451;733
1000;0.001;10000;BOTH;75;5;4501;683
1000;0.001;10000;BOTH;75;6;4499;666
1000;0.001;10000;BOTH;75;7;4464;670
1000;0.001;10000;BOTH;75;8;4503;671
1000;0.001;10000;BOTH;75;9;4459;674
1000;0.001;10000;BOTH;75;10;4495;653
1000;0.001;10000;BOTH;100;1;4453;839
1000;0.001;10000;BOTH;100;2;4439;841
1000;0.001;10000;BOTH;100;3;4476;847
1000;0.001;10000;BOTH;100;4;4492;863
1000;0.001;10000;BOTH;100;5;4461;869
1000;0.001;10000;BOTH;100;6;4463;870
1000;0.001;10000;BOTH;100;7;4450;1034
1000;0.001;10000;BOTH;100;8;4505;894
1000;0.001;10000;BOTH;100;9;4481;860
1000;0.001;10000;BOTH;100;10;4504;870
1000;0.001;50000;NORMAL;1;1;4635;44
1000;0.001;50000;NORMAL;1;2;4706;42
1000;0.001;50000;NORMAL;1;3;4687;47
1000;0.001;50000;NORMAL;1;4;4656;46
1000;0.001;50000;NORMAL;1;5;4616;103
1000;0.001;50000;NORMAL;1;6;4666;45
1000;0.001;50000;NORMAL;1;7;4623;43
1000;0.001;50000;NORMAL;1;8;4636;46
1000;0.001;50000;NORMAL;1;9;4635;45
1000;0.001;50000;NORMAL;1;10;4577;46
1000;0.001;50000;GREEDY;25;1;4507;1163
1000;0.001;50000;GREEDY;25;2;4530;1195
1000;0.001;50000;GREEDY;25;3;4524;1154
1000;0.001;50000;GREEDY;25;4;4566;1151
1000;0.001;50000;GREEDY;25;5;4512;1240
1000;0.001;50000;GREEDY;25;6;4504;1151
1000;0.001;50000;GREEDY;25;7;4529;1154
1000;0.001;50000;GREEDY;25;8;4541;1167
1000;0.001;50000;GREEDY;25;9;4467;1158
